"date","province","province_id","cumulative_cases","adjusted_cumulative_cases","cumulative_deaths","cumulative_recoveries","active_cases","population","deaths_per_100k","day_no","daily_cases","daily_deaths","cases_seven_day_average","deaths_seven_day_average","active_cases_seven_day_average","weekly_cases_total","week_no","cases_per_100k_seven_day_average","incidence"
2020-03-23,"Gauteng","GP",207,0,0,0,207,15176116,0,1,0,0,NA,NA,NA,NA,NA,0,207
2020-03-24,"Gauteng","GP",302,0,0,0,302,15176116,0,2,95,0,NA,NA,NA,NA,NA,0,95
2020-03-25,"Gauteng","GP",319,0,0,0,319,15176116,0,3,17,0,NA,NA,NA,NA,NA,0,17
2020-03-26,"Gauteng","GP",409,0,0,0,409,15176116,0,4,90,0,NA,NA,NA,NA,NA,0,90
2020-03-27,"Gauteng","GP",409,0,0,0,409,15176116,0,5,0,0,NA,NA,NA,NA,NA,0,0
2020-03-28,"Gauteng","GP",533,0,0,0,533,15176116,0,6,124,0,NA,NA,NA,NA,NA,0,124
2020-03-29,"Gauteng","GP",584,0,0,0,584,15176116,0,7,51,0,53.9,0,395,377,1,0.4,51
2020-03-30,"Gauteng","GP",618,0,0,0,618,15176116,0,8,34,0,58.7,0,453,411,NA,0.4,34
2020-03-31,"Gauteng","GP",633,0,1,0,632,15176116,0.01,9,15,1,47.3,0.1,501,331,NA,0,15
2020-04-01,"Gauteng","GP",645,0,1,0,644,15176116,0.01,10,12,0,46.6,0.1,547,326,NA,0,12
2020-04-02,"Gauteng","GP",663,0,1,0,662,15176116,0.01,11,18,0,36.3,0.1,583,254,NA,0,18
2020-04-03,"Gauteng","GP",672,0,1,0,671,15176116,0.01,12,9,0,37.6,0.1,621,263,NA,0,9
2020-04-04,"Gauteng","GP",693,0,1,0,692,15176116,0.01,13,21,0,22.9,0.1,643,160,NA,0,21
2020-04-05,"Gauteng","GP",704,0,1,0,703,15176116,0.01,14,11,0,17.1,0.1,660,120,2,0,11
2020-04-06,"Gauteng","GP",713,0,1,0,712,15176116,0.01,15,9,0,13.6,0.1,674,95,NA,0,9
2020-04-07,"Gauteng","GP",713,0,1,0,712,15176116,0.01,16,0,0,11.4,0,685,80,NA,0,0
2020-04-08,"Gauteng","GP",782,0,3,0,779,15176116,0.02,17,69,2,19.6,0.3,704,137,NA,0,69
2020-04-09,"Gauteng","GP",795,0,3,0,792,15176116,0.02,18,13,0,18.9,0.3,723,132,NA,0,13
2020-04-10,"Gauteng","GP",801,0,3,157,641,15176116,0.02,19,6,0,18.4,0.3,719,129,NA,0,6
2020-04-11,"Gauteng","GP",813,0,3,157,653,15176116,0.02,20,12,0,17.1,0.3,713,120,NA,0,12
2020-04-12,"Gauteng","GP",865,0,3,157,705,15176116,0.02,21,52,0,23,0.3,713,161,3,0,52
2020-04-13,"Gauteng","GP",890,0,4,157,729,15176116,0.03,22,25,1,25.3,0.4,716,177,NA,0,25
2020-04-14,"Gauteng","GP",909,0,4,157,748,15176116,0.03,23,19,0,28,0.4,721,196,NA,0,19
2020-04-15,"Gauteng","GP",930,0,5,157,768,15176116,0.03,24,21,1,21.1,0.3,719,148,NA,0,21
2020-04-16,"Gauteng","GP",969,0,6,479,484,15176116,0.04,25,39,1,24.9,0.4,675,174,NA,0,39
2020-04-17,"Gauteng","GP",1018,0,6,479,533,15176116,0.04,26,49,0,31,0.4,660,217,NA,0,49
2020-04-18,"Gauteng","GP",1101,0,6,479,616,15176116,0.04,27,83,0,41.1,0.4,655,288,NA,0,83
2020-04-19,"Gauteng","GP",1148,0,6,479,663,15176116,0.04,28,47,0,40.4,0.4,649,283,4,0,47
2020-04-20,"Gauteng","GP",1170,0,7,545,618,15176116,0.05,29,22,1,40,0.4,633,280,NA,0,22
2020-04-21,"Gauteng","GP",1199,0,7,545,647,15176116,0.05,30,29,0,41.4,0.4,618,290,NA,0,29
2020-04-22,"Gauteng","GP",1224,0,7,545,672,15176116,0.05,31,25,0,42,0.3,605,294,NA,0,25
2020-04-23,"Gauteng","GP",1252,0,8,843,401,15176116,0.05,32,28,1,40.4,0.3,593,283,NA,0,28
2020-04-24,"Gauteng","GP",1281,0,8,843,430,15176116,0.05,33,29,0,37.6,0.3,578,263,NA,0,29
2020-04-25,"Gauteng","GP",1304,0,8,843,453,15176116,0.05,34,23,0,29,0.3,555,203,NA,0,23
2020-04-26,"Gauteng","GP",1331,0,8,843,480,15176116,0.05,35,27,0,26.1,0.3,529,183,5,0,27
2020-04-27,"Gauteng","GP",1353,0,8,843,502,15176116,0.05,36,22,0,26.1,0.1,512,183,NA,0,22
2020-04-28,"Gauteng","GP",1377,0,8,897,472,15176116,0.05,37,24,0,25.4,0.1,487,178,NA,0,24
2020-04-29,"Gauteng","GP",1408,0,11,897,500,15176116,0.07,38,31,3,26.3,0.6,463,184,NA,0,31
2020-04-30,"Gauteng","GP",1446,0,11,897,538,15176116,0.07,39,38,0,27.7,0.4,482,194,NA,0,38
2020-05-01,"Gauteng","GP",1507,0,11,948,548,15176116,0.07,40,61,0,32.3,0.4,499,226,NA,0,61
2020-05-02,"Gauteng","GP",1598,0,12,948,638,15176116,0.08,41,91,1,42,0.6,525,294,NA,0,91
2020-05-03,"Gauteng","GP",1624,0,14,948,662,15176116,0.09,42,26,2,41.9,0.9,551,293,6,0,26
2020-05-04,"Gauteng","GP",1661,0,14,979,668,15176116,0.09,43,37,0,44,0.9,575,308,NA,0,37
2020-05-05,"Gauteng","GP",1697,0,15,979,703,15176116,0.1,44,36,1,45.7,1,608,320,NA,0,36
2020-05-06,"Gauteng","GP",1720,0,15,1036,669,15176116,0.1,45,23,0,44.6,0.6,632,312,NA,0,23
2020-05-07,"Gauteng","GP",1804,0,15,1036,753,15176116,0.1,46,84,0,51.1,0.6,663,358,NA,0,84
2020-05-08,"Gauteng","GP",1851,0,18,1036,797,15176116,0.12,47,47,3,49.1,1,699,344,NA,0,47
2020-05-09,"Gauteng","GP",1910,0,19,1036,855,15176116,0.13,48,59,1,44.6,1,730,312,NA,0,59
2020-05-10,"Gauteng","GP",1952,0,22,1247,683,15176116,0.14,49,42,3,46.9,1.1,733,328,7,0,42
2020-05-11,"Gauteng","GP",1971,0,22,1247,702,15176116,0.14,50,19,0,44.3,1.1,737,310,NA,0,19
2020-05-12,"Gauteng","GP",2014,0,22,1247,745,15176116,0.14,51,43,0,45.3,1,743,317,NA,0,43
2020-05-13,"Gauteng","GP",2074,0,24,1343,707,15176116,0.16,52,60,2,50.6,1.3,749,354,NA,0,60
2020-05-14,"Gauteng","GP",2135,0,24,1547,564,15176116,0.16,53,61,0,47.3,1.3,722,331,NA,0,61
2020-05-15,"Gauteng","GP",2210,0,24,1552,634,15176116,0.16,54,75,0,51.3,0.9,699,359,NA,0,75
2020-05-16,"Gauteng","GP",2262,0,25,1583,654,15176116,0.16,55,52,1,50.3,0.9,670,352,NA,0,52
2020-05-17,"Gauteng","GP",2329,0,25,1583,721,15176116,0.16,56,67,0,53.9,0.4,675,377,8,0,67
2020-05-18,"Gauteng","GP",2343,0,26,1657,660,15176116,0.17,57,14,1,53.1,0.6,669,372,NA,0,14
2020-05-19,"Gauteng","GP",2361,0,27,1671,663,15176116,0.18,58,18,1,49.6,0.7,658,347,NA,0,18
2020-05-20,"Gauteng","GP",2400,0,27,1694,679,15176116,0.18,59,39,0,46.6,0.4,654,326,NA,0,39
2020-05-21,"Gauteng","GP",2453,0,27,1694,732,15176116,0.18,60,53,0,45.4,0.4,678,318,NA,0,53
2020-05-22,"Gauteng","GP",2521,0,29,1776,716,15176116,0.19,61,68,2,44.4,0.7,689,311,NA,0,68
2020-05-23,"Gauteng","GP",2633,0,29,1776,828,15176116,0.19,62,112,0,53,0.6,714,371,NA,0,112
2020-05-24,"Gauteng","GP",2773,0,29,1840,904,15176116,0.19,63,140,0,63.4,0.6,740,444,9,0,140
2020-05-25,"Gauteng","GP",2993,0,30,1899,1064,15176116,0.2,64,220,1,92.9,0.6,798,650,NA,0,220
2020-05-26,"Gauteng","GP",3043,0,31,1919,1093,15176116,0.2,65,50,1,97.4,0.6,859,682,NA,0,50
2020-05-27,"Gauteng","GP",3167,0,31,1955,1181,15176116,0.2,66,124,0,109.6,0.6,931,767,NA,0,124
2020-05-28,"Gauteng","GP",3329,0,31,1993,1305,15176116,0.2,67,162,0,125.1,0.6,1013,876,NA,0,162
2020-05-29,"Gauteng","GP",3583,0,31,2019,1533,15176116,0.2,68,254,0,151.7,0.3,1130,1062,NA,0,254
2020-05-30,"Gauteng","GP",3773,0,31,2035,1707,15176116,0.2,69,190,0,162.9,0.3,1255,1140,NA,0,190
2020-05-31,"Gauteng","GP",4003,0,33,2060,1910,15176116,0.22,70,230,2,175.7,0.6,1399,1230,10,0,230
2020-06-01,"Gauteng","GP",4231,0,33,2060,2138,15176116,0.22,71,228,0,176.9,0.4,1552,1238,NA,0,228
2020-06-02,"Gauteng","GP",4276,0,33,2060,2183,15176116,0.22,72,45,0,176.1,0.3,1708,1233,NA,0,45
2020-06-03,"Gauteng","GP",4567,0,33,2169,2365,15176116,0.22,73,291,0,200,0.3,1877,1400,NA,0,291
2020-06-04,"Gauteng","GP",4845,0,33,2222,2590,15176116,0.22,74,278,0,216.6,0.3,2061,1516,NA,0,278
2020-06-05,"Gauteng","GP",5215,0,40,2344,2831,15176116,0.26,75,370,7,233.1,1.3,2246,1632,NA,0,370
2020-06-06,"Gauteng","GP",5626,0,47,2344,3235,15176116,0.31,76,411,7,264.7,2.3,2465,1853,NA,0,411
2020-06-07,"Gauteng","GP",5946,0,47,2428,3471,15176116,0.31,77,320,0,277.6,2,2688,1943,11,0,320
2020-06-08,"Gauteng","GP",6258,0,47,2428,3783,15176116,0.31,78,312,0,289.6,2,2923,2027,NA,0,312
2020-06-09,"Gauteng","GP",6546,0,57,2575,3914,15176116,0.38,79,288,10,324.3,3.4,3170,2270,NA,0,288
2020-06-10,"Gauteng","GP",7195,0,57,2825,4313,15176116,0.38,80,649,0,375.4,3.4,3448,2628,NA,0,649
2020-06-11,"Gauteng","GP",7953,0,57,2825,5071,15176116,0.38,81,758,0,444,3.4,3803,3108,NA,0,758
2020-06-12,"Gauteng","GP",8781,0,57,2948,5776,15176116,0.38,82,828,0,509.4,2.4,4223,3566,NA,0,828
2020-06-13,"Gauteng","GP",9897,0,81,3075,6741,15176116,0.53,83,1116,24,610.1,4.9,4724,4271,NA,0,1116
2020-06-14,"Gauteng","GP",11164,0,81,3207,7876,15176116,0.53,84,1267,0,745.4,4.9,5353,5218,11,0,1267
2020-06-15,"Gauteng","GP",12193,0,87,3348,8758,15176116,0.57,85,1029,6,847.9,5.7,6064,5935,NA,0,1029
2020-06-16,"Gauteng","GP",13023,0,87,3442,9494,15176116,0.57,86,830,0,925.3,4.3,6861,6477,NA,0,830
2020-06-17,"Gauteng","GP",14620,0,87,3716,10817,15176116,0.57,87,1597,0,1060.7,4.3,7790,7425,NA,0,1597
2020-06-18,"Gauteng","GP",15898,0,87,3756,12055,15176116,0.57,88,1278,0,1135,4.3,8788,7945,NA,0,1278
2020-06-19,"Gauteng","GP",17261,0,114,4001,13146,15176116,0.75,89,1363,27,1211.4,8.1,9841,8480,NA,0,1363
2020-06-20,"Gauteng","GP",18978,0,114,4273,14591,15176116,0.75,90,1717,0,1297.3,4.7,10962,9081,NA,0,1717
2020-06-21,"Gauteng","GP",20822,0,122,4673,16027,15176116,0.8,91,1844,8,1379.7,5.9,12127,9658,12,0,1844
2020-06-22,"Gauteng","GP",22341,0,122,5620,16599,15176116,0.8,92,1519,0,1449.7,5,13247,10148,NA,0,1519
2020-06-23,"Gauteng","GP",24041,0,122,5620,18299,15176116,0.8,93,1700,0,1574,5,14505,11018,NA,0,1700
2020-06-24,"Gauteng","GP",26156,0,147,5856,20153,15176116,0.97,94,2115,25,1648,8.6,15839,11536,NA,0,2115
2020-06-25,"Gauteng","GP",28746,0,149,5856,22741,15176116,0.98,95,2590,2,1835.4,8.9,17365,12848,NA,0,2590
2020-06-26,"Gauteng","GP",31344,0,149,7132,24063,15176116,0.98,96,2598,0,2011.9,5,18925,14083,NA,0,2598
2020-06-27,"Gauteng","GP",34285,0,166,7712,26407,15176116,1.09,97,2941,17,2186.7,7.4,20613,15307,NA,0,2941
