"date","province","province_id","cumulative_cases","adjusted_cumulative_cases","cumulative_deaths","cumulative_recoveries","active_cases","population","deaths_per_100k","day_no","daily_cases","daily_deaths","cases_seven_day_average","deaths_seven_day_average","active_cases_seven_day_average","weekly_cases_total","week_no","cases_per_100k_seven_day_average","incidence"
2020-03-23,"KwaZulu Natal","KZN",60,0,0,0,60,11289086,0,1,0,0,NA,NA,NA,NA,NA,0,60
2020-03-24,"KwaZulu Natal","KZN",80,0,0,0,80,11289086,0,2,20,0,NA,NA,NA,NA,NA,0,20
2020-03-25,"KwaZulu Natal","KZN",91,0,0,0,91,11289086,0,3,11,0,NA,NA,NA,NA,NA,0,11
2020-03-26,"KwaZulu Natal","KZN",134,0,0,0,134,11289086,0,4,43,0,NA,NA,NA,NA,NA,0,43
2020-03-27,"KwaZulu Natal","KZN",134,0,0,0,134,11289086,0,5,0,0,NA,NA,NA,NA,NA,0,0
2020-03-28,"KwaZulu Natal","KZN",156,0,0,0,156,11289086,0,6,22,0,NA,NA,NA,NA,NA,0,22
2020-03-29,"KwaZulu Natal","KZN",167,0,1,0,166,11289086,0.01,7,11,1,15.3,0.1,117,107,1,0.1,11
2020-03-30,"KwaZulu Natal","KZN",171,0,1,0,170,11289086,0.01,8,4,0,15.9,0.1,133,111,NA,0.1,4
2020-03-31,"KwaZulu Natal","KZN",179,0,2,0,177,11289086,0.02,9,8,1,14.1,0.3,147,99,NA,0,8
2020-04-01,"KwaZulu Natal","KZN",186,0,2,0,184,11289086,0.02,10,7,0,13.6,0.3,160,95,NA,0,7
2020-04-02,"KwaZulu Natal","KZN",206,0,2,0,204,11289086,0.02,11,20,0,10.3,0.3,170,72,NA,0,20
2020-04-03,"KwaZulu Natal","KZN",215,0,4,0,211,11289086,0.04,12,9,2,11.6,0.6,181,81,NA,0,9
2020-04-04,"KwaZulu Natal","KZN",232,0,6,0,226,11289086,0.05,13,17,2,10.9,0.9,191,76,NA,0,17
2020-04-05,"KwaZulu Natal","KZN",246,0,7,0,239,11289086,0.06,14,14,1,11.3,0.9,202,79,2,0,14
2020-04-06,"KwaZulu Natal","KZN",257,0,7,0,250,11289086,0.06,15,11,0,12.3,0.9,213,86,NA,0,11
2020-04-07,"KwaZulu Natal","KZN",257,0,8,0,249,11289086,0.07,16,0,1,11.1,0.9,223,78,NA,0,0
2020-04-08,"KwaZulu Natal","KZN",354,0,9,0,345,11289086,0.08,17,97,1,24,1,246,168,NA,0,97
