"date","province","province_id","cumulative_cases","adjusted_cumulative_cases","cumulative_deaths","cumulative_recoveries","active_cases","population","deaths_per_100k","day_no","daily_cases","daily_deaths","cases_seven_day_average","deaths_seven_day_average","active_cases_seven_day_average","weekly_cases_total","week_no","cases_per_100k_seven_day_average","incidence"
2020-03-23,"Limpopo","LP",4,0,0,0,4,5982584,0,1,0,0,NA,NA,NA,NA,NA,0,4
2020-03-24,"Limpopo","LP",4,0,0,0,4,5982584,0,2,0,0,NA,NA,NA,NA,NA,0,0
2020-03-25,"Limpopo","LP",4,0,0,0,4,5982584,0,3,0,0,NA,NA,NA,NA,NA,0,0
2020-03-26,"Limpopo","LP",6,0,0,0,6,5982584,0,4,2,0,NA,NA,NA,NA,NA,0,2
2020-03-27,"Limpopo","LP",6,0,0,0,6,5982584,0,5,0,0,NA,NA,NA,NA,NA,0,0
2020-03-28,"Limpopo","LP",11,0,0,0,11,5982584,0,6,5,0,NA,NA,NA,NA,NA,0,5
2020-03-29,"Limpopo","LP",11,0,0,0,11,5982584,0,7,0,0,1,0,7,7,1,0,0
2020-03-30,"Limpopo","LP",11,0,0,0,11,5982584,0,8,0,0,1,0,8,7,NA,0,0
2020-03-31,"Limpopo","LP",14,0,0,0,14,5982584,0,9,3,0,1.4,0,9,10,NA,0,3
2020-04-01,"Limpopo","LP",14,0,0,0,14,5982584,0,10,0,0,1.4,0,10,10,NA,0,0
2020-04-02,"Limpopo","LP",16,0,0,0,16,5982584,0,11,2,0,1.4,0,12,10,NA,0,2
2020-04-03,"Limpopo","LP",16,0,0,0,16,5982584,0,12,0,0,1.4,0,13,10,NA,0,0
2020-04-04,"Limpopo","LP",18,0,0,0,18,5982584,0,13,2,0,1,0,14,7,NA,0,2
2020-04-05,"Limpopo","LP",19,0,0,0,19,5982584,0,14,1,0,1.1,0,15,8,2,0,1
2020-04-06,"Limpopo","LP",19,0,0,0,19,5982584,0,15,0,0,1.1,0,17,8,NA,0,0
2020-04-07,"Limpopo","LP",19,0,0,0,19,5982584,0,16,0,0,0.7,0,17,5,NA,0,0
