"date","province","province_id","cumulative_cases","adjusted_cumulative_cases","cumulative_deaths","cumulative_recoveries","active_cases","population","deaths_per_100k","day_no","daily_cases","daily_deaths","cases_seven_day_average","deaths_seven_day_average","active_cases_seven_day_average","weekly_cases_total","week_no","cases_per_100k_seven_day_average","incidence"
2020-03-23,"Mpumalanga","MP",9,0,0,0,9,4592187,0,1,0,0,NA,NA,NA,NA,NA,0,9
2020-03-24,"Mpumalanga","MP",9,0,0,0,9,4592187,0,2,0,0,NA,NA,NA,NA,NA,0,0
2020-03-25,"Mpumalanga","MP",8,0,0,0,8,4592187,0,3,-1,0,NA,NA,NA,NA,NA,0,-1
2020-03-26,"Mpumalanga","MP",9,0,0,0,9,4592187,0,4,1,0,NA,NA,NA,NA,NA,0,1
2020-03-27,"Mpumalanga","MP",9,0,0,0,9,4592187,0,5,0,0,NA,NA,NA,NA,NA,0,0
2020-03-28,"Mpumalanga","MP",10,0,0,0,10,4592187,0,6,1,0,NA,NA,NA,NA,NA,0,1
2020-03-29,"Mpumalanga","MP",11,0,0,0,11,4592187,0,7,1,0,0.3,0,9,2,1,0,1
2020-03-30,"Mpumalanga","MP",11,0,0,0,11,4592187,0,8,0,0,0.3,0,10,2,NA,0,0
2020-03-31,"Mpumalanga","MP",12,0,0,0,12,4592187,0,9,1,0,0.4,0,10,3,NA,0,1
2020-04-01,"Mpumalanga","MP",12,0,0,0,12,4592187,0,10,0,0,0.6,0,11,4,NA,0,0
2020-04-02,"Mpumalanga","MP",13,0,0,0,13,4592187,0,11,1,0,0.6,0,11,4,NA,0,1
2020-04-03,"Mpumalanga","MP",13,0,0,0,13,4592187,0,12,0,0,0.6,0,12,4,NA,0,0
2020-04-04,"Mpumalanga","MP",18,0,0,0,18,4592187,0,13,5,0,1.1,0,13,8,NA,0,5
2020-04-05,"Mpumalanga","MP",18,0,0,0,18,4592187,0,14,0,0,1,0,14,7,2,0,0
2020-04-06,"Mpumalanga","MP",18,0,0,0,18,4592187,0,15,0,0,1,0,15,7,NA,0,0
2020-04-07,"Mpumalanga","MP",18,0,0,0,18,4592187,0,16,0,0,0.9,0,16,6,NA,0,0
2020-04-08,"Mpumalanga","MP",21,0,0,0,21,4592187,0,17,3,0,1.3,0,17,9,NA,0,3
2020-04-09,"Mpumalanga","MP",20,0,0,0,20,4592187,0,18,-1,0,1,0,18,7,NA,0,-1
2020-04-10,"Mpumalanga","MP",20,0,0,6,14,4592187,0,19,0,0,1,0,18,7,NA,0,0
2020-04-11,"Mpumalanga","MP",20,0,0,6,14,4592187,0,20,0,0,0.3,0,18,2,NA,0,0
2020-04-12,"Mpumalanga","MP",21,0,0,6,15,4592187,0,21,1,0,0.4,0,17,3,3,0,1
2020-04-13,"Mpumalanga","MP",22,0,0,6,16,4592187,0,22,1,0,0.6,0,17,4,NA,0,1
2020-04-14,"Mpumalanga","MP",22,0,0,6,16,4592187,0,23,0,0,0.6,0,17,4,NA,0,0
2020-04-15,"Mpumalanga","MP",22,0,0,6,16,4592187,0,24,0,0,0.1,0,16,1,NA,0,0
2020-04-16,"Mpumalanga","MP",22,0,0,9,13,4592187,0,25,0,0,0.3,0,15,2,NA,0,0
2020-04-17,"Mpumalanga","MP",23,0,0,9,14,4592187,0,26,1,0,0.4,0,15,3,NA,0,1
2020-04-18,"Mpumalanga","MP",25,0,0,9,16,4592187,0,27,2,0,0.7,0,15,5,NA,0,2
2020-04-19,"Mpumalanga","MP",23,0,0,9,14,4592187,0,28,-2,0,0.3,0,15,2,4,0,-2
2020-04-20,"Mpumalanga","MP",23,0,0,14,9,4592187,0,29,0,0,0.1,0,14,1,NA,0,0
2020-04-21,"Mpumalanga","MP",24,0,0,14,10,4592187,0,30,1,0,0.3,0,13,2,NA,0,1
2020-04-22,"Mpumalanga","MP",23,0,0,14,9,4592187,0,31,-1,0,0.1,0,12,1,NA,0,-1
2020-04-23,"Mpumalanga","MP",23,0,0,15,8,4592187,0,32,0,0,0.1,0,11,1,NA,0,0
2020-04-24,"Mpumalanga","MP",24,0,0,15,9,4592187,0,33,1,0,0.1,0,11,1,NA,0,1
2020-04-25,"Mpumalanga","MP",23,0,0,15,8,4592187,0,34,-1,0,-0.3,0,10,-2,NA,0,-1
2020-04-26,"Mpumalanga","MP",23,0,0,15,8,4592187,0,35,0,0,0,0,9,NA,5,0,0
2020-04-27,"Mpumalanga","MP",26,0,0,15,11,4592187,0,36,3,0,0.4,0,9,3,NA,0,3
2020-04-28,"Mpumalanga","MP",24,0,0,18,6,4592187,0,37,-2,0,0,0,8,NA,NA,0,-2
2020-04-29,"Mpumalanga","MP",31,0,0,18,13,4592187,0,38,7,0,1.1,0,9,8,NA,0,7
2020-04-30,"Mpumalanga","MP",36,0,0,18,18,4592187,0,39,5,0,1.9,0,10,13,NA,0,5
2020-05-01,"Mpumalanga","MP",35,0,0,18,17,4592187,0,40,-1,0,1.6,0,12,11,NA,0,-1
2020-05-02,"Mpumalanga","MP",40,0,0,18,22,4592187,0,41,5,0,2.4,0,14,17,NA,0,5
2020-05-03,"Mpumalanga","MP",46,0,0,18,28,4592187,0,42,6,0,3.3,0,16,23,6,0,6
2020-05-04,"Mpumalanga","MP",53,0,0,22,31,4592187,0,43,7,0,3.9,0,19,27,NA,0,7
2020-05-05,"Mpumalanga","MP",57,0,0,22,35,4592187,0,44,4,0,4.7,0,23,33,NA,0,4
2020-05-06,"Mpumalanga","MP",57,0,0,22,35,4592187,0,45,0,0,3.7,0,27,26,NA,0,0
2020-05-07,"Mpumalanga","MP",59,0,0,22,37,4592187,0,46,2,0,3.3,0,29,23,NA,0,2
2020-05-08,"Mpumalanga","MP",60,0,0,22,38,4592187,0,47,1,0,3.6,0,32,25,NA,0,1
2020-05-09,"Mpumalanga","MP",61,0,0,22,39,4592187,0,48,1,0,3,0,35,21,NA,0,1
2020-05-10,"Mpumalanga","MP",61,0,0,22,39,4592187,0,49,0,0,2.1,0,36,15,7,0,0
2020-05-11,"Mpumalanga","MP",63,0,0,22,41,4592187,0,50,2,0,1.4,0,38,10,NA,0,2
2020-05-12,"Mpumalanga","MP",63,0,0,22,41,4592187,0,51,0,0,0.9,0,39,6,NA,0,0
2020-05-13,"Mpumalanga","MP",66,0,0,24,42,4592187,0,52,3,0,1.3,0,40,9,NA,0,3
2020-05-14,"Mpumalanga","MP",67,0,0,34,33,4592187,0,53,1,0,1.1,0,39,8,NA,0,1
2020-05-15,"Mpumalanga","MP",67,0,0,44,23,4592187,0,54,0,0,1,0,37,7,NA,0,0
2020-05-16,"Mpumalanga","MP",68,0,0,49,19,4592187,0,55,1,0,1,0,34,7,NA,0,1
2020-05-17,"Mpumalanga","MP",71,0,0,49,22,4592187,0,56,3,0,1.4,0,32,10,8,0,3
2020-05-18,"Mpumalanga","MP",76,0,0,53,23,4592187,0,57,5,0,1.9,0,29,13,NA,0,5
2020-05-19,"Mpumalanga","MP",78,0,0,57,21,4592187,0,58,2,0,2.1,0,26,15,NA,0,2
2020-05-20,"Mpumalanga","MP",93,0,0,58,35,4592187,0,59,15,0,3.9,0,25,27,NA,0,15
2020-05-21,"Mpumalanga","MP",95,0,0,58,37,4592187,0,60,2,0,4,0,26,28,NA,0,2
2020-05-22,"Mpumalanga","MP",98,0,0,58,40,4592187,0,61,3,0,4.4,0,28,31,NA,0,3
2020-05-23,"Mpumalanga","MP",97,0,0,58,39,4592187,0,62,-1,0,4.1,0,31,29,NA,0,-1
2020-05-24,"Mpumalanga","MP",101,0,0,58,43,4592187,0,63,4,0,4.3,0,34,30,9,0,4
2020-05-25,"Mpumalanga","MP",102,0,0,61,41,4592187,0,64,1,0,3.7,0,37,26,NA,0,1
2020-05-26,"Mpumalanga","MP",103,0,0,61,42,4592187,0,65,1,0,3.6,0,40,25,NA,0,1
2020-05-27,"Mpumalanga","MP",106,0,0,62,44,4592187,0,66,3,0,1.9,0,41,13,NA,0,3
2020-05-28,"Mpumalanga","MP",111,0,0,67,44,4592187,0,67,5,0,2.3,0,42,16,NA,0,5
2020-05-29,"Mpumalanga","MP",112,0,0,67,45,4592187,0,68,1,0,2,0,43,14,NA,0,1
2020-05-30,"Mpumalanga","MP",113,0,0,67,46,4592187,0,69,1,0,2.3,0,44,16,NA,0,1
2020-05-31,"Mpumalanga","MP",121,0,0,72,49,4592187,0,70,8,0,2.9,0,44,20,10,0,8
2020-06-01,"Mpumalanga","MP",131,0,0,86,45,4592187,0,71,10,0,4.1,0,45,29,NA,0,10
2020-06-02,"Mpumalanga","MP",132,0,0,86,46,4592187,0,72,1,0,4.1,0,46,29,NA,0,1
