"date","province","province_id","cumulative_cases","adjusted_cumulative_cases","cumulative_deaths","cumulative_recoveries","active_cases","population","deaths_per_100k","day_no","daily_cases","daily_deaths","cases_seven_day_average","deaths_seven_day_average","active_cases_seven_day_average","weekly_cases_total","week_no","cases_per_100k_seven_day_average","incidence"
2020-03-23,"North West","NW",4,0,0,0,4,4027160,0,1,0,0,NA,NA,NA,NA,NA,0,4
2020-03-24,"North West","NW",5,0,0,0,5,4027160,0,2,1,0,NA,NA,NA,NA,NA,0,1
2020-03-25,"North West","NW",5,0,0,0,5,4027160,0,3,0,0,NA,NA,NA,NA,NA,0,0
2020-03-26,"North West","NW",5,0,0,0,5,4027160,0,4,0,0,NA,NA,NA,NA,NA,0,0
2020-03-27,"North West","NW",5,0,0,0,5,4027160,0,5,0,0,NA,NA,NA,NA,NA,0,0
2020-03-28,"North West","NW",6,0,0,0,6,4027160,0,6,1,0,NA,NA,NA,NA,NA,0,1
2020-03-29,"North West","NW",6,0,0,0,6,4027160,0,7,0,0,0.3,0,5,2,1,0,0
2020-03-30,"North West","NW",8,0,0,0,8,4027160,0,8,2,0,0.6,0,6,4,NA,0,2
2020-03-31,"North West","NW",8,0,0,0,8,4027160,0,9,0,0,0.4,0,6,3,NA,0,0
2020-04-01,"North West","NW",9,0,0,0,9,4027160,0,10,1,0,0.6,0,7,4,NA,0,1
2020-04-02,"North West","NW",9,0,0,0,9,4027160,0,11,0,0,0.6,0,7,4,NA,0,0
2020-04-03,"North West","NW",9,0,0,0,9,4027160,0,12,0,0,0.6,0,8,4,NA,0,0
2020-04-04,"North West","NW",11,0,0,0,11,4027160,0,13,2,0,0.7,0,9,5,NA,0,2
2020-04-05,"North West","NW",11,0,0,0,11,4027160,0,14,0,0,0.7,0,9,5,2,0,0
2020-04-06,"North West","NW",11,0,0,0,11,4027160,0,15,0,0,0.4,0,10,3,NA,0,0
2020-04-07,"North West","NW",11,0,0,0,11,4027160,0,16,0,0,0.4,0,10,3,NA,0,0
2020-04-08,"North West","NW",15,0,0,0,15,4027160,0,17,4,0,0.9,0,11,6,NA,0,4
2020-04-09,"North West","NW",15,0,0,0,15,4027160,0,18,0,0,0.9,0,12,6,NA,0,0
2020-04-10,"North West","NW",18,0,0,3,15,4027160,0,19,3,0,1.3,0,13,9,NA,0,3
2020-04-11,"North West","NW",19,0,0,3,16,4027160,0,20,1,0,1.1,0,13,8,NA,0,1
2020-04-12,"North West","NW",19,0,0,3,16,4027160,0,21,0,0,1.1,0,14,8,3,0,0
2020-04-13,"North West","NW",22,0,0,3,19,4027160,0,22,3,0,1.6,0,15,11,NA,0,3
2020-04-14,"North West","NW",22,0,0,3,19,4027160,0,23,0,0,1.6,0,16,11,NA,0,0
2020-04-15,"North West","NW",23,0,0,3,20,4027160,0,24,1,0,1.1,0,17,8,NA,0,1
2020-04-16,"North West","NW",24,0,0,10,14,4027160,0,25,1,0,1.3,0,17,9,NA,0,1
2020-04-17,"North West","NW",24,0,0,10,14,4027160,0,26,0,0,0.9,0,17,6,NA,0,0
2020-04-18,"North West","NW",24,0,0,10,14,4027160,0,27,0,0,0.7,0,17,5,NA,0,0
2020-04-19,"North West","NW",24,0,0,10,14,4027160,0,28,0,0,0.7,0,16,5,4,0,0
2020-04-20,"North West","NW",25,0,0,13,12,4027160,0,29,1,0,0.4,0,15,3,NA,0,1
2020-04-21,"North West","NW",24,0,0,13,11,4027160,0,30,-1,0,0.3,0,14,2,NA,0,-1
2020-04-22,"North West","NW",24,0,0,13,11,4027160,0,31,0,0,0.1,0,13,1,NA,0,0
2020-04-23,"North West","NW",25,0,0,13,12,4027160,0,32,1,0,0.1,0,13,1,NA,0,1
2020-04-24,"North West","NW",25,0,0,13,12,4027160,0,33,0,0,0.1,0,12,1,NA,0,0
2020-04-25,"North West","NW",28,0,0,13,15,4027160,0,34,3,0,0.6,0,12,4,NA,0,3
2020-04-26,"North West","NW",28,0,0,13,15,4027160,0,35,0,0,0.6,0,13,4,5,0,0
2020-04-27,"North West","NW",28,0,0,13,15,4027160,0,36,0,0,0.4,0,13,3,NA,0,0
2020-04-28,"North West","NW",29,0,0,16,13,4027160,0,37,1,0,0.7,0,13,5,NA,0,1
2020-04-29,"North West","NW",29,0,0,16,13,4027160,0,38,0,0,0.7,0,14,5,NA,0,0
2020-04-30,"North West","NW",31,0,0,16,15,4027160,0,39,2,0,0.9,0,14,6,NA,0,2
2020-05-01,"North West","NW",35,0,0,16,19,4027160,0,40,4,0,1.4,0,15,10,NA,0,4
2020-05-02,"North West","NW",35,0,0,20,15,4027160,0,41,0,0,1,0,15,7,NA,0,0
2020-05-03,"North West","NW",36,0,0,20,16,4027160,0,42,1,0,1.1,0,15,8,6,0,1
2020-05-04,"North West","NW",35,0,0,20,15,4027160,0,43,-1,0,1,0,15,7,NA,0,-1
2020-05-05,"North West","NW",35,0,0,20,15,4027160,0,44,0,0,0.9,0,15,6,NA,0,0
2020-05-06,"North West","NW",37,0,0,20,17,4027160,0,45,2,0,1.1,0,16,8,NA,0,2
2020-05-07,"North West","NW",40,0,0,20,20,4027160,0,46,3,0,1.3,0,17,9,NA,0,3
2020-05-08,"North West","NW",42,0,0,20,22,4027160,0,47,2,0,1,0,17,7,NA,0,2
2020-05-09,"North West","NW",41,0,0,20,21,4027160,0,48,-1,0,0.9,0,18,6,NA,0,-1
2020-05-10,"North West","NW",45,0,0,23,22,4027160,0,49,4,0,1.3,0,19,9,7,0,4
2020-05-11,"North West","NW",50,0,1,23,26,4027160,0.02,50,5,1,2.1,0.1,20,15,NA,0,5
2020-05-12,"North West","NW",51,0,1,23,27,4027160,0.02,51,1,0,2.3,0.1,22,16,NA,0,1
2020-05-13,"North West","NW",52,0,1,24,27,4027160,0.02,52,1,0,2.1,0.1,24,15,NA,0,1
2020-05-14,"North West","NW",58,0,1,28,29,4027160,0.02,53,6,0,2.6,0.1,25,18,NA,0,6
2020-05-15,"North West","NW",63,0,1,28,34,4027160,0.02,54,5,0,3,0.1,27,21,NA,0,5
2020-05-16,"North West","NW",64,0,1,28,35,4027160,0.02,55,1,0,3.3,0.1,29,23,NA,0,1
2020-05-17,"North West","NW",70,0,1,28,41,4027160,0.02,56,6,0,3.6,0.1,31,25,8,0,6
2020-05-18,"North West","NW",72,0,1,28,43,4027160,0.02,57,2,0,3.1,0,34,22,NA,0,2
2020-05-19,"North West","NW",72,0,1,28,43,4027160,0.02,58,0,0,3,0,36,21,NA,0,0
2020-05-20,"North West","NW",72,0,1,28,43,4027160,0.02,59,0,0,2.9,0,38,20,NA,0,0
2020-05-21,"North West","NW",77,0,1,28,48,4027160,0.02,60,5,0,2.7,0,41,19,NA,0,5
2020-05-22,"North West","NW",80,0,1,29,50,4027160,0.02,61,3,0,2.4,0,43,17,NA,0,3
2020-05-23,"North West","NW",81,0,1,29,51,4027160,0.02,62,1,0,2.4,0,46,17,NA,0,1
2020-05-24,"North West","NW",94,0,1,29,64,4027160,0.02,63,13,0,3.4,0,49,24,9,0,13
2020-05-25,"North West","NW",109,0,1,29,79,4027160,0.02,64,15,0,5.3,0,54,37,NA,0,15
2020-05-26,"North West","NW",115,0,1,29,85,4027160,0.02,65,6,0,6.1,0,60,43,NA,0,6
2020-05-27,"North West","NW",128,0,1,39,88,4027160,0.02,66,13,0,8,0,66,56,NA,0,13
2020-05-28,"North West","NW",134,0,1,45,88,4027160,0.02,67,6,0,8.1,0,72,57,NA,0,6
2020-05-29,"North West","NW",143,0,1,45,97,4027160,0.02,68,9,0,9,0,79,63,NA,0,9
2020-05-30,"North West","NW",162,0,1,45,116,4027160,0.02,69,19,0,11.6,0,88,81,NA,0,19
2020-05-31,"North West","NW",175,0,1,45,129,4027160,0.02,70,13,0,11.6,0,97,81,10,0,13
2020-06-01,"North West","NW",187,0,1,45,141,4027160,0.02,71,12,0,11.1,0,106,78,NA,0,12
2020-06-02,"North West","NW",271,0,1,59,211,4027160,0.02,72,84,0,22.3,0,124,156,NA,0,84
2020-06-03,"North West","NW",314,0,1,59,254,4027160,0.02,73,43,0,26.6,0,148,186,NA,0,43
2020-06-04,"North West","NW",364,0,1,59,304,4027160,0.02,74,50,0,32.9,0,179,230,NA,0,50
2020-06-05,"North West","NW",409,0,1,73,335,4027160,0.02,75,45,0,38,0,213,266,NA,0,45
2020-06-06,"North West","NW",468,0,1,73,394,4027160,0.02,76,59,0,43.7,0,253,306,NA,0,59
2020-06-07,"North West","NW",523,0,1,73,449,4027160,0.02,77,55,0,49.7,0,298,348,11,0,55
2020-06-08,"North West","NW",580,0,1,73,506,4027160,0.02,78,57,0,56.1,0,350,393,NA,0,57
2020-06-09,"North West","NW",604,0,1,88,515,4027160,0.02,79,24,0,47.6,0,394,333,NA,0,24
2020-06-10,"North West","NW",657,0,1,104,552,4027160,0.02,80,53,0,49,0,436,343,NA,0,53
2020-06-11,"North West","NW",757,0,5,104,648,4027160,0.12,81,100,4,56.1,0.6,486,393,NA,0,100
2020-06-12,"North West","NW",865,0,5,128,732,4027160,0.12,82,108,0,65.1,0.6,542,456,NA,0,108
2020-06-13,"North West","NW",977,0,5,128,844,4027160,0.12,83,112,0,72.7,0.6,607,509,NA,0,112
2020-06-14,"North West","NW",1097,0,5,152,940,4027160,0.12,84,120,0,82,0.6,677,574,11,0,120
2020-06-15,"North West","NW",1177,0,5,152,1020,4027160,0.12,85,80,0,85.3,0.6,750,597,NA,0,80
2020-06-16,"North West","NW",1281,0,5,152,1124,4027160,0.12,86,104,0,96.7,0.6,837,677,NA,0,104
2020-06-17,"North West","NW",1402,0,5,175,1222,4027160,0.12,87,121,0,106.4,0.6,933,745,NA,0,121
2020-06-18,"North West","NW",1606,0,5,175,1426,4027160,0.12,88,204,0,121.3,0,1044,849,NA,0,204
2020-06-19,"North West","NW",1758,0,5,175,1578,4027160,0.12,89,152,0,127.6,0,1165,893,NA,0,152
2020-06-20,"North West","NW",1957,0,5,175,1777,4027160,0.12,90,199,0,140,0,1298,980,NA,0,199
2020-06-21,"North West","NW",2148,0,5,248,1895,4027160,0.12,91,191,0,150.1,0,1435,1051,12,0,191
2020-06-22,"North West","NW",2315,0,5,248,2062,4027160,0.12,92,167,0,162.6,0,1583,1138,NA,0,167
2020-06-23,"North West","NW",2454,0,5,256,2193,4027160,0.12,93,139,0,167.6,0,1736,1173,NA,0,139
2020-06-24,"North West","NW",2618,0,5,291,2322,4027160,0.12,94,164,0,173.7,0,1893,1216,NA,0,164
2020-06-25,"North West","NW",2965,0,5,291,2669,4027160,0.12,95,347,0,194.1,0,2071,1359,NA,0,347
2020-06-26,"North West","NW",3218,0,5,421,2792,4027160,0.12,96,253,0,208.6,0,2244,1460,NA,0,253
2020-06-27,"North West","NW",3454,0,5,433,3016,4027160,0.12,97,236,0,213.9,0,2421,1497,NA,0,236
2020-06-28,"North West","NW",3647,0,5,433,3209,4027160,0.12,98,193,0,214.1,0,2609,1499,13,0,193
2020-06-29,"North West","NW",3931,0,7,433,3491,4027160,0.17,99,284,2,230.9,0.3,2813,1616,NA,0,284
2020-06-30,"North West","NW",4187,0,7,651,3529,4027160,0.17,100,256,0,247.6,0.3,3004,1733,NA,0,256
2020-07-01,"North West","NW",4393,0,7,802,3584,4027160,0.17,101,206,0,253.6,0.3,3184,1775,NA,0,206
2020-07-02,"North West","NW",4788,0,7,865,3916,4027160,0.17,102,395,0,260.4,0.3,3362,1823,NA,0,395
2020-07-03,"North West","NW",5168,0,36,865,4267,4027160,0.89,103,380,29,278.6,4.4,3573,1950,NA,0,380
2020-07-04,"North West","NW",5644,0,36,865,4743,4027160,0.89,104,476,0,312.9,4.4,3820,2190,NA,0,476
2020-07-05,"North West","NW",6063,0,36,865,5162,4027160,0.89,105,419,0,345.1,4.4,4099,2416,14,0,419
2020-07-06,"North West","NW",6410,0,36,1104,5270,4027160,0.89,106,347,0,354.1,4.1,4353,2479,NA,0,347
2020-07-07,"North West","NW",6842,0,36,1335,5471,4027160,0.89,107,432,0,379.3,4.1,4630,2655,NA,0,432
2020-07-08,"North West","NW",7147,0,36,1456,5655,4027160,0.89,108,305,0,393.4,4.1,4926,2754,NA,0,305
2020-07-09,"North West","NW",7870,0,36,1574,6260,4027160,0.89,109,723,0,440.3,4.1,5261,3082,NA,0,723
2020-07-10,"North West","NW",8676,0,36,1688,6952,4027160,0.89,110,806,0,501.1,0,5645,3508,NA,0,806
2020-07-11,"North West","NW",9418,0,36,1715,7667,4027160,0.89,111,742,0,539.1,0,6062,3774,NA,0,742
