"date","province","province_id","cumulative_cases","adjusted_cumulative_cases","cumulative_deaths","cumulative_recoveries","active_cases","population","deaths_per_100k","day_no","daily_cases","daily_deaths","cases_seven_day_average","deaths_seven_day_average","active_cases_seven_day_average","weekly_cases_total","week_no","cases_per_100k_seven_day_average","incidence"
2020-03-23,"Northern Cape","NC",2,0,0,0,2,1263875,0,1,0,0,NA,NA,NA,NA,NA,0,2
2020-03-24,"Northern Cape","NC",2,0,0,0,2,1263875,0,2,0,0,NA,NA,NA,NA,NA,0,0
2020-03-25,"Northern Cape","NC",2,0,0,0,2,1263875,0,3,0,0,NA,NA,NA,NA,NA,0,0
2020-03-26,"Northern Cape","NC",2,0,0,0,2,1263875,0,4,0,0,NA,NA,NA,NA,NA,0,0
2020-03-27,"Northern Cape","NC",2,0,0,0,2,1263875,0,5,0,0,NA,NA,NA,NA,NA,0,0
2020-03-28,"Northern Cape","NC",5,0,0,0,5,1263875,0,6,3,0,NA,NA,NA,NA,NA,0,3
2020-03-29,"Northern Cape","NC",6,0,0,0,6,1263875,0,7,1,0,0.6,0,3,4,1,0,1
2020-03-30,"Northern Cape","NC",3,0,0,0,3,1263875,0,8,-3,0,0.1,0,3,1,NA,0,-3
2020-03-31,"Northern Cape","NC",6,0,0,0,6,1263875,0,9,3,0,0.6,0,4,4,NA,0,3
2020-04-01,"Northern Cape","NC",7,0,0,0,7,1263875,0,10,1,0,0.7,0,4,5,NA,0,1
2020-04-02,"Northern Cape","NC",7,0,0,0,7,1263875,0,11,0,0,0.7,0,5,5,NA,0,0
2020-04-03,"Northern Cape","NC",7,0,0,0,7,1263875,0,12,0,0,0.7,0,6,5,NA,0,0
2020-04-04,"Northern Cape","NC",7,0,0,0,7,1263875,0,13,0,0,0.3,0,6,2,NA,0,0
2020-04-05,"Northern Cape","NC",8,0,0,0,8,1263875,0,14,1,0,0.3,0,6,2,2,0,1
2020-04-06,"Northern Cape","NC",8,0,0,0,8,1263875,0,15,0,0,0.7,0,7,5,NA,0,0
2020-04-07,"Northern Cape","NC",8,0,0,0,8,1263875,0,16,0,0,0.3,0,7,2,NA,0,0
2020-04-08,"Northern Cape","NC",13,0,0,0,13,1263875,0,17,5,0,0.9,0,8,6,NA,0,5
2020-04-09,"Northern Cape","NC",15,0,0,0,15,1263875,0,18,2,0,1.1,0,9,8,NA,0,2
2020-04-10,"Northern Cape","NC",15,0,0,0,15,1263875,0,19,0,0,1.1,0,11,8,NA,0,0
2020-04-11,"Northern Cape","NC",16,0,0,0,16,1263875,0,20,1,0,1.3,0,12,9,NA,0,1
