"date","province","province_id","cumulative_cases","adjusted_cumulative_cases","cumulative_deaths","cumulative_recoveries","active_cases","population","deaths_per_100k","day_no","daily_cases","daily_deaths","cases_seven_day_average","deaths_seven_day_average","active_cases_seven_day_average","weekly_cases_total","week_no","cases_per_100k_seven_day_average","incidence"
2020-03-23,"Eastern Cape","EC",2,0,0,0,2,6712276,0,1,0,0,NA,NA,NA,NA,NA,0,2
2020-03-24,"Eastern Cape","EC",2,0,0,0,2,6712276,0,2,0,0,NA,NA,NA,NA,NA,0,0
2020-03-25,"Eastern Cape","EC",2,0,0,0,2,6712276,0,3,0,0,NA,NA,NA,NA,NA,0,0
2020-03-26,"Eastern Cape","EC",5,0,0,0,5,6712276,0,4,3,0,NA,NA,NA,NA,NA,0,3
2020-03-27,"Eastern Cape","EC",5,0,0,0,5,6712276,0,5,0,0,NA,NA,NA,NA,NA,0,0
2020-03-28,"Eastern Cape","EC",10,0,0,0,10,6712276,0,6,5,0,NA,NA,NA,NA,NA,0,5
2020-03-29,"Eastern Cape","EC",12,0,0,0,12,6712276,0,7,2,0,1.4,0,5,10,1,0,2
2020-03-30,"Eastern Cape","EC",12,0,0,0,12,6712276,0,8,0,0,1.4,0,7,10,NA,0,0
2020-03-31,"Eastern Cape","EC",12,0,0,0,12,6712276,0,9,0,0,1.4,0,8,10,NA,0,0
2020-04-01,"Eastern Cape","EC",15,0,0,0,15,6712276,0,10,3,0,1.9,0,10,13,NA,0,3
2020-04-02,"Eastern Cape","EC",17,0,0,0,17,6712276,0,11,2,0,1.7,0,12,12,NA,0,2
2020-04-03,"Eastern Cape","EC",21,0,0,0,21,6712276,0,12,4,0,2.3,0,14,16,NA,0,4
2020-04-04,"Eastern Cape","EC",25,0,0,0,25,6712276,0,13,4,0,2.1,0,16,15,NA,0,4
2020-04-05,"Eastern Cape","EC",31,0,0,0,31,6712276,0,14,6,0,2.7,0,19,19,2,0,6
2020-04-06,"Eastern Cape","EC",32,0,0,0,32,6712276,0,15,1,0,2.9,0,22,20,NA,0,1
2020-04-07,"Eastern Cape","EC",32,0,0,0,32,6712276,0,16,0,0,2.9,0,25,20,NA,0,0
2020-04-08,"Eastern Cape","EC",45,0,0,0,45,6712276,0,17,13,0,4.3,0,29,30,NA,0,13
2020-04-09,"Eastern Cape","EC",61,0,0,0,61,6712276,0,18,16,0,6.3,0,35,44,NA,0,16
2020-04-10,"Eastern Cape","EC",68,0,0,3,65,6712276,0,19,7,0,6.7,0,42,47,NA,0,7
2020-04-11,"Eastern Cape","EC",69,0,0,3,66,6712276,0,20,1,0,6.3,0,47,44,NA,0,1
2020-04-12,"Eastern Cape","EC",88,0,0,3,85,6712276,0,21,19,0,8.1,0,55,57,3,0,19
2020-04-13,"Eastern Cape","EC",104,0,0,3,101,6712276,0,22,16,0,10.3,0,65,72,NA,0,16
2020-04-14,"Eastern Cape","EC",174,0,0,3,171,6712276,0,23,70,0,20.3,0,85,142,NA,0,70
2020-04-15,"Eastern Cape","EC",199,0,0,3,196,6712276,0,24,25,0,22,0,106,154,NA,0,25
2020-04-16,"Eastern Cape","EC",220,0,4,9,207,6712276,0.06,25,21,4,22.7,0.6,127,159,NA,0,21
2020-04-17,"Eastern Cape","EC",246,0,4,9,233,6712276,0.06,26,26,0,25.4,0.6,151,178,NA,0,26
2020-04-18,"Eastern Cape","EC",270,0,4,9,257,6712276,0.06,27,24,0,28.7,0.6,179,201,NA,0,24
2020-04-19,"Eastern Cape","EC",293,0,4,9,280,6712276,0.06,28,23,0,29.3,0.6,206,205,4,0,23
2020-04-20,"Eastern Cape","EC",310,0,5,15,290,6712276,0.07,29,17,1,29.4,0.7,233,206,NA,0,17
2020-04-21,"Eastern Cape","EC",345,0,5,15,325,6712276,0.07,30,35,0,24.4,0.7,255,171,NA,0,35
2020-04-22,"Eastern Cape","EC",377,0,5,15,357,6712276,0.07,31,32,0,25.4,0.7,278,178,NA,0,32
2020-04-23,"Eastern Cape","EC",417,0,6,19,392,6712276,0.09,32,40,1,28.1,0.3,305,197,NA,0,40
2020-04-24,"Eastern Cape","EC",480,0,6,19,455,6712276,0.09,33,63,0,33.4,0.3,337,234,NA,0,63
2020-04-25,"Eastern Cape","EC",488,0,10,19,459,6712276,0.15,34,8,4,31.1,0.9,365,218,NA,0,8
2020-04-26,"Eastern Cape","EC",535,0,10,19,506,6712276,0.15,35,47,0,34.6,0.9,398,242,5,0,47
2020-04-27,"Eastern Cape","EC",588,0,10,19,559,6712276,0.15,36,53,0,39.7,0.7,436,278,NA,0,53
2020-04-28,"Eastern Cape","EC",616,0,10,46,560,6712276,0.15,37,28,0,38.7,0.7,470,271,NA,0,28
2020-04-29,"Eastern Cape","EC",630,0,11,46,573,6712276,0.16,38,14,1,36.1,0.9,501,253,NA,0,14
2020-04-30,"Eastern Cape","EC",647,0,11,46,590,6712276,0.16,39,17,0,32.9,0.7,529,230,NA,0,17
2020-05-01,"Eastern Cape","EC",691,0,11,254,426,6712276,0.16,40,44,0,30.1,0.7,525,211,NA,0,44
2020-05-02,"Eastern Cape","EC",732,0,13,275,444,6712276,0.19,41,41,2,34.9,0.4,523,244,NA,0,41
2020-05-03,"Eastern Cape","EC",774,0,17,275,482,6712276,0.25,42,42,4,34.1,1,519,239,6,0,42
2020-05-04,"Eastern Cape","EC",814,0,17,341,456,6712276,0.25,43,40,0,32.3,1,504,226,NA,0,40
2020-05-05,"Eastern Cape","EC",838,0,18,341,479,6712276,0.27,44,24,1,31.7,1.1,493,222,NA,0,24
2020-05-06,"Eastern Cape","EC",849,0,18,388,443,6712276,0.27,45,11,0,31.3,1,474,219,NA,0,11
2020-05-07,"Eastern Cape","EC",929,0,18,388,523,6712276,0.27,46,80,0,40.3,1,465,282,NA,0,80
2020-05-08,"Eastern Cape","EC",989,0,21,388,580,6712276,0.31,47,60,3,42.6,1.4,487,298,NA,0,60
2020-05-09,"Eastern Cape","EC",1078,0,21,388,669,6712276,0.31,48,89,0,49.4,1.1,519,346,NA,0,89
2020-05-10,"Eastern Cape","EC",1218,0,22,519,677,6712276,0.33,49,140,1,63.4,0.7,547,444,7,0,140
