"date","province","province_id","cumulative_cases","adjusted_cumulative_cases","cumulative_deaths","cumulative_recoveries","active_cases","population","deaths_per_100k","day_no","daily_cases","daily_deaths","cases_seven_day_average","deaths_seven_day_average","active_cases_seven_day_average","weekly_cases_total","week_no","cases_per_100k_seven_day_average","incidence"
2020-03-23,"Free State","FS",13,0,0,0,13,2887465,0,1,0,0,NA,NA,NA,NA,NA,0,13
2020-03-24,"Free State","FS",18,0,0,0,18,2887465,0,2,5,0,NA,NA,NA,NA,NA,0,5
2020-03-25,"Free State","FS",30,0,0,0,30,2887465,0,3,12,0,NA,NA,NA,NA,NA,0,12
2020-03-26,"Free State","FS",49,0,0,0,49,2887465,0,4,19,0,NA,NA,NA,NA,NA,0,19
2020-03-27,"Free State","FS",61,0,0,0,61,2887465,0,5,12,0,NA,NA,NA,NA,NA,0,12
2020-03-28,"Free State","FS",68,0,0,0,68,2887465,0,6,7,0,NA,NA,NA,NA,NA,0,7
2020-03-29,"Free State","FS",72,0,0,0,72,2887465,0,7,4,0,8.4,0,44,59,1,0.3,4
2020-03-30,"Free State","FS",72,0,0,0,72,2887465,0,8,0,0,8.4,0,53,59,NA,0.3,0
2020-03-31,"Free State","FS",74,0,1,0,73,2887465,0.03,9,2,1,8,0.1,61,56,NA,0,2
2020-04-01,"Free State","FS",76,0,1,0,75,2887465,0.03,10,2,0,6.6,0.1,67,46,NA,0,2
2020-04-02,"Free State","FS",84,0,1,0,83,2887465,0.03,11,8,0,5,0.1,72,35,NA,0,8
2020-04-03,"Free State","FS",84,0,1,0,83,2887465,0.03,12,0,0,3.3,0.1,75,23,NA,0,0
2020-04-04,"Free State","FS",85,0,1,0,84,2887465,0.03,13,1,0,2.4,0.1,77,17,NA,0,1
2020-04-05,"Free State","FS",87,0,1,0,86,2887465,0.03,14,2,0,2.1,0.1,79,15,2,0,2
2020-04-06,"Free State","FS",89,0,1,0,88,2887465,0.03,15,2,0,2.4,0.1,82,17,NA,0,2
2020-04-07,"Free State","FS",89,0,1,0,88,2887465,0.03,16,0,0,2.1,0,84,15,NA,0,0
2020-04-08,"Free State","FS",88,0,3,0,85,2887465,0.1,17,-1,2,1.7,0.3,85,12,NA,0,-1
2020-04-09,"Free State","FS",93,0,3,0,90,2887465,0.1,18,5,0,1.3,0.3,86,9,NA,0,5
2020-04-10,"Free State","FS",94,0,3,61,30,2887465,0.1,19,1,0,1.4,0.3,79,10,NA,0,1
2020-04-11,"Free State","FS",94,0,3,61,30,2887465,0.1,20,0,0,1.3,0.3,71,9,NA,0,0
2020-04-12,"Free State","FS",96,0,3,61,32,2887465,0.1,21,2,0,1.3,0.3,63,9,3,0,2
