"date","province","province_id","cumulative_cases","adjusted_cumulative_cases","cumulative_deaths","cumulative_recoveries","active_cases","population","deaths_per_100k","day_no","daily_cases","daily_deaths","cases_seven_day_average","deaths_seven_day_average","active_cases_seven_day_average","weekly_cases_total","week_no","cases_per_100k_seven_day_average","incidence"
2020-03-23,"Western Cape","WC",100,0,0,0,100,6844272,0,1,0,0,NA,NA,NA,NA,NA,0,100
2020-03-24,"Western Cape","WC",113,0,0,0,113,6844272,0,2,13,0,NA,NA,NA,NA,NA,0,13
2020-03-25,"Western Cape","WC",183,0,0,0,183,6844272,0,3,70,0,NA,NA,NA,NA,NA,0,70
2020-03-26,"Western Cape","WC",229,0,0,0,229,6844272,0,4,46,0,NA,NA,NA,NA,NA,0,46
2020-03-27,"Western Cape","WC",229,0,1,0,228,6844272,0.01,5,0,1,NA,NA,NA,NA,NA,0,0
2020-03-28,"Western Cape","WC",271,0,1,0,270,6844272,0.01,6,42,0,NA,NA,NA,NA,NA,0,42
2020-03-29,"Western Cape","WC",310,0,1,0,309,6844272,0.01,7,39,0,30,0.1,205,210,1,0.4,39
2020-03-30,"Western Cape","WC",324,0,1,0,323,6844272,0.01,8,14,0,32,0.1,236,224,NA,0.5,14
2020-03-31,"Western Cape","WC",325,0,1,0,324,6844272,0.01,9,1,0,30.3,0.1,267,212,NA,0,1
2020-04-01,"Western Cape","WC",326,0,1,0,325,6844272,0.01,10,1,0,20.4,0.1,287,143,NA,0,1
2020-04-02,"Western Cape","WC",353,0,1,0,352,6844272,0.01,11,27,0,17.7,0.1,304,124,NA,0,27
2020-04-03,"Western Cape","WC",374,0,1,0,373,6844272,0.01,12,21,0,20.7,0,325,145,NA,0,21
2020-04-04,"Western Cape","WC",433,0,1,0,432,6844272,0.01,13,59,0,23.1,0,348,162,NA,0,59
2020-04-05,"Western Cape","WC",454,0,2,0,452,6844272,0.03,14,21,1,20.6,0.1,369,144,2,0,21
2020-04-06,"Western Cape","WC",462,0,3,0,459,6844272,0.04,15,8,1,19.7,0.3,388,138,NA,0,8
2020-04-07,"Western Cape","WC",462,0,3,0,459,6844272,0.04,16,0,0,19.6,0.3,407,137,NA,0,0
2020-04-08,"Western Cape","WC",495,0,3,0,492,6844272,0.04,17,33,0,24.1,0.3,431,169,NA,0,33
2020-04-09,"Western Cape","WC",515,0,3,0,512,6844272,0.04,18,20,0,23.1,0.3,454,162,NA,0,20
2020-04-10,"Western Cape","WC",541,0,6,152,383,6844272,0.09,19,26,3,23.9,0.7,456,167,NA,0,26
2020-04-11,"Western Cape","WC",546,0,7,152,387,6844272,0.1,20,5,1,16.1,0.9,449,113,NA,0,5
2020-04-12,"Western Cape","WC",587,0,7,152,428,6844272,0.1,21,41,0,19,0.7,446,133,3,0,41
2020-04-13,"Western Cape","WC",617,0,8,152,457,6844272,0.12,22,30,1,22.1,0.7,445,155,NA,0,30
2020-04-14,"Western Cape","WC",643,0,8,152,483,6844272,0.12,23,26,0,25.9,0.7,449,181,NA,0,26
2020-04-15,"Western Cape","WC",657,0,8,152,497,6844272,0.12,24,14,0,23.1,0.7,450,162,NA,0,14
2020-04-16,"Western Cape","WC",675,0,13,205,457,6844272,0.19,25,18,5,22.9,1.4,442,160,NA,0,18
2020-04-17,"Western Cape","WC",717,0,15,205,497,6844272,0.22,26,42,2,25.1,1.3,458,176,NA,0,42
2020-04-18,"Western Cape","WC",836,0,16,205,615,6844272,0.23,27,119,1,41.4,1.3,491,290,NA,0,119
2020-04-19,"Western Cape","WC",868,0,17,205,646,6844272,0.25,28,32,1,40.1,1.4,522,281,4,0,32
2020-04-20,"Western Cape","WC",940,0,17,216,707,6844272,0.25,29,72,0,46.1,1.3,557,323,NA,0,72
2020-04-21,"Western Cape","WC",1010,0,17,216,777,6844272,0.25,30,70,0,52.4,1.3,599,367,NA,0,70
2020-04-22,"Western Cape","WC",1079,0,22,216,841,6844272,0.32,31,69,5,60.3,2,649,422,NA,0,69
2020-04-23,"Western Cape","WC",1279,0,28,236,1015,6844272,0.41,32,200,6,86.3,2.1,728,604,NA,0,200
2020-04-24,"Western Cape","WC",1413,0,30,236,1147,6844272,0.44,33,134,2,99.4,2.1,821,696,NA,0,134
2020-04-25,"Western Cape","WC",1514,0,32,236,1246,6844272,0.47,34,101,2,96.9,2.3,911,678,NA,0,101
2020-04-26,"Western Cape","WC",1609,0,33,236,1340,6844272,0.48,35,95,1,105.9,2.3,1010,741,5,0,95
2020-04-27,"Western Cape","WC",1737,0,35,236,1466,6844272,0.51,36,128,2,113.9,2.6,1119,797,NA,0,128
2020-04-28,"Western Cape","WC",1870,0,38,605,1227,6844272,0.56,37,133,3,122.9,3,1183,860,NA,0,133
2020-04-29,"Western Cape","WC",2135,0,42,605,1488,6844272,0.61,38,265,4,150.9,2.9,1276,1056,NA,0,265
2020-04-30,"Western Cape","WC",2342,0,42,605,1695,6844272,0.61,39,207,0,151.9,2,1373,1063,NA,0,207
2020-05-01,"Western Cape","WC",2507,0,55,641,1811,6844272,0.8,40,165,13,156.3,3.6,1468,1094,NA,0,165
2020-05-02,"Western Cape","WC",2700,0,56,779,1865,6844272,0.82,41,193,1,169.4,3.4,1556,1186,NA,0,193
2020-05-03,"Western Cape","WC",3044,0,58,779,2207,6844272,0.85,42,344,2,205,3.6,1680,1435,6,0,344
2020-05-04,"Western Cape","WC",3362,0,64,833,2465,6844272,0.94,43,318,6,232.1,4.1,1823,1625,NA,0,318
2020-05-05,"Western Cape","WC",3609,0,71,833,2705,6844272,1.04,44,247,7,248.4,4.7,2034,1739,NA,0,247
2020-05-06,"Western Cape","WC",3760,0,73,1122,2565,6844272,1.07,45,151,2,232.1,4.4,2188,1625,NA,0,151
2020-05-07,"Western Cape","WC",3994,0,79,1122,2793,6844272,1.15,46,234,6,236,5.3,2344,1652,NA,0,234
2020-05-08,"Western Cape","WC",4497,0,88,1122,3287,6844272,1.29,47,503,9,284.3,4.7,2555,1990,NA,0,503
2020-05-09,"Western Cape","WC",4809,0,95,1122,3592,6844272,1.39,48,312,7,301.3,5.6,2802,2109,NA,0,312
2020-05-10,"Western Cape","WC",5168,0,98,1607,3463,6844272,1.43,49,359,3,303.4,5.7,2981,2124,7,0,359
2020-05-11,"Western Cape","WC",5621,0,106,1607,3908,6844272,1.55,50,453,8,322.7,6,3188,2259,NA,0,453
2020-05-12,"Western Cape","WC",6105,0,106,1607,4392,6844272,1.55,51,484,0,356.6,5,3429,2496,NA,0,484
2020-05-13,"Western Cape","WC",6713,0,117,1950,4646,6844272,1.71,52,608,11,421.9,6.3,3726,2953,NA,0,608
2020-05-14,"Western Cape","WC",7235,0,129,2573,4533,6844272,1.88,53,522,12,463,7.1,3974,3241,NA,0,522
2020-05-15,"Western Cape","WC",7798,0,137,2857,4804,6844272,2,54,563,8,471.6,7,4191,3301,NA,0,563
2020-05-16,"Western Cape","WC",8404,0,149,3097,5158,6844272,2.18,55,606,12,513.6,7.7,4415,3595,NA,0,606
2020-05-17,"Western Cape","WC",9294,0,149,3521,5624,6844272,2.18,56,890,0,589.4,7.3,4724,4126,8,0,890
2020-05-18,"Western Cape","WC",10035,0,166,3731,6138,6844272,2.43,57,741,17,630.6,8.6,5042,4414,NA,0,741
2020-05-19,"Western Cape","WC",10639,0,187,4363,6089,6844272,2.73,58,604,21,647.7,11.6,5285,4534,NA,0,604
2020-05-20,"Western Cape","WC",11262,0,210,5105,5947,6844272,3.07,59,623,23,649.9,13.3,5470,4549,NA,0,623
2020-05-21,"Western Cape","WC",12153,0,235,5105,6813,6844272,3.43,60,891,25,702.6,15.1,5796,4918,NA,0,891
2020-05-22,"Western Cape","WC",12888,0,257,6126,6505,6844272,3.75,61,735,22,727.1,17.1,6039,5090,NA,0,735
2020-05-23,"Western Cape","WC",13826,0,261,6126,7439,6844272,3.81,62,938,4,774.6,16,6365,5422,NA,0,938
2020-05-24,"Western Cape","WC",14740,0,281,6525,7934,6844272,4.11,63,914,20,778,18.9,6695,5446,9,0,914
2020-05-25,"Western Cape","WC",15396,0,330,7221,7845,6844272,4.82,64,656,49,765.9,23.4,6939,5361,NA,0,656
2020-05-26,"Western Cape","WC",15829,0,363,7844,7622,6844272,5.3,65,433,33,741.4,25.1,7158,5190,NA,0,433
2020-05-27,"Western Cape","WC",16893,0,391,8504,7998,6844272,5.71,66,1064,28,804.4,25.9,7451,5631,NA,0,1064
2020-05-28,"Western Cape","WC",17754,0,406,9157,8191,6844272,5.93,67,861,15,800.1,24.4,7648,5601,NA,0,861
2020-05-29,"Western Cape","WC",18906,0,437,9830,8639,6844272,6.38,68,1152,31,859.7,25.7,7953,6018,NA,0,1152
2020-05-30,"Western Cape","WC",20160,0,465,10508,9187,6844272,6.79,69,1254,28,904.9,29.1,8202,6334,NA,0,1254
2020-05-31,"Western Cape","WC",21382,0,503,11099,9780,6844272,7.35,70,1222,38,948.9,31.7,8466,6642,10,0,1222
2020-06-01,"Western Cape","WC",22567,0,525,11431,10611,6844272,7.67,71,1185,22,1024.4,27.9,8861,7171,NA,0,1185
2020-06-02,"Western Cape","WC",23583,0,568,12436,10579,6844272,8.3,72,1016,43,1107.7,29.3,9284,7754,NA,0,1016
2020-06-03,"Western Cape","WC",24657,0,597,13696,10364,6844272,8.72,73,1074,29,1109.1,29.4,9622,7764,NA,0,1074
