"samples","max_rhat","divergent_transitions","per_divergent_transitions","max_treedepth","no_at_max_treedepth","per_at_max_treedepth","slide","type"
5000,1.003,0,0,8,2160,0.432,0,"daily"
5000,1.002,0,0,10,129,0.0258,14,"daily"
5000,1.002,0,0,9,3245,0.649,28,"daily"
5000,1.002,0,0,10,1977,0.3954,42,"daily"
5000,1.002,1,2e-04,10,788,0.1576,56,"daily"
5000,1.003,0,0,10,342,0.0684,70,"daily"
5000,1.001,0,0,10,2836,0.5672,84,"daily"
5000,1.002,0,0,10,159,0.0318,98,"daily"
5000,1.001,0,0,10,1359,0.2718,112,"daily"
5000,1.006,0,0,10,238,0.0476,126,"daily"
5000,1.003,0,0,10,504,0.1008,140,"daily"
5000,1.002,0,0,10,4,8e-04,154,"daily"
5000,1.001,0,0,10,625,0.125,168,"daily"
5000,1.002,0,0,10,1056,0.2112,182,"daily"
5000,1.002,0,0,9,1952,0.3904,196,"daily"
5000,1.001,0,0,10,2663,0.5326,210,"daily"
5000,1.002,0,0,10,2,4e-04,224,"daily"
5000,1.003,0,0,10,1499,0.2998,238,"daily"
5000,1.001,0,0,10,2138,0.4276,252,"daily"
5000,1.002,0,0,10,574,0.1148,266,"daily"
5000,1.002,0,0,10,255,0.051,280,"daily"
5000,1.002,0,0,10,936,0.1872,294,"daily"
5000,1.003,0,0,10,1322,0.2644,308,"daily"
5000,1.003,0,0,9,2663,0.5326,322,"daily"
5000,1.006,0,0,10,1014,0.2028,336,"daily"
5000,1.003,0,0,10,95,0.019,350,"daily"
5000,1.004,0,0,10,1230,0.246,364,"daily"
5000,1.001,0,0,9,641,0.1282,378,"daily"
5000,1.002,0,0,10,69,0.0138,392,"daily"
5000,1.001,0,0,10,1222,0.2444,406,"daily"
5000,1.003,0,0,9,261,0.0522,420,"daily"
5000,1.002,0,0,9,3279,0.6558,434,"daily"
5000,1.003,0,0,10,729,0.1458,448,"daily"
5000,1.002,0,0,11,325,0.065,462,"daily"
5000,1.003,0,0,10,471,0.0942,476,"daily"
5000,1.001,0,0,11,290,0.058,490,"daily"
5000,1.002,0,0,10,2298,0.4596,504,"daily"
5000,1.003,0,0,10,940,0.188,518,"daily"
5000,1.002,0,0,10,2277,0.4554,532,"daily"
5000,1.002,0,0,9,1206,0.2412,546,"daily"
5000,1.002,0,0,9,1709,0.3418,560,"daily"
5000,1.002,0,0,9,3374,0.6748,574,"daily"
5000,1.003,0,0,9,1140,0.228,588,"daily"
5000,1.001,0,0,9,1585,0.317,602,"daily"
