"samples","max_rhat","divergent_transitions","per_divergent_transitions","max_treedepth","no_at_max_treedepth","per_at_max_treedepth","slide","type"
5000,1.004,0,0,8,107,0.0214,0,"daily"
5000,1.002,0,0,9,70,0.014,14,"daily"
5000,1.001,0,0,9,1229,0.2458,28,"daily"
5000,1.002,0,0,9,1080,0.216,42,"daily"
5000,1.001,0,0,10,2,4e-04,56,"daily"
5000,1.003,0,0,10,1215,0.243,70,"daily"
5000,1.003,0,0,10,1025,0.205,84,"daily"
5000,1.002,0,0,11,929,0.1858,98,"daily"
5000,1.002,0,0,11,161,0.0322,112,"daily"
5000,1.002,0,0,10,1381,0.2762,126,"daily"
5000,1.003,0,0,10,1897,0.3794,140,"daily"
5000,1.002,0,0,10,1181,0.2362,154,"daily"
5000,1.002,0,0,10,637,0.1274,168,"daily"
5000,1.001,0,0,10,365,0.073,182,"daily"
5000,1.002,0,0,10,1173,0.2346,196,"daily"
5000,1.002,0,0,10,1590,0.318,210,"daily"
5000,1.002,0,0,10,39,0.0078,224,"daily"
5000,1.004,0,0,10,1227,0.2454,238,"daily"
5000,1.002,0,0,9,3801,0.7602,252,"daily"
5000,1.001,0,0,10,2292,0.4584,266,"daily"
5000,1.002,0,0,10,391,0.0782,280,"daily"
5000,1.003,0,0,10,1477,0.2954,294,"daily"
5000,1.002,0,0,10,437,0.0874,308,"daily"
5000,1.002,0,0,10,44,0.0088,322,"daily"
5000,1.001,0,0,9,2051,0.4102,336,"daily"
5000,1.002,0,0,9,2134,0.4268,350,"daily"
5000,1.002,0,0,9,3591,0.7182,364,"daily"
5000,1.002,0,0,9,1673,0.3346,378,"daily"
5000,1.001,0,0,10,470,0.094,392,"daily"
5000,1.003,0,0,11,2,4e-04,406,"daily"
5000,1.002,0,0,9,2877,0.5754,420,"daily"
5000,1.003,0,0,9,1686,0.3372,434,"daily"
5000,1.003,0,0,10,1199,0.2398,448,"daily"
5000,1.001,0,0,10,2,4e-04,462,"daily"
5000,1.002,0,0,10,1070,0.214,476,"daily"
5000,1.002,0,0,10,1569,0.3138,490,"daily"
5000,1.003,0,0,10,2338,0.4676,504,"daily"
5000,1.002,0,0,10,461,0.0922,518,"daily"
5000,1.002,0,0,9,4238,0.8476,532,"daily"
5000,1.002,0,0,10,694,0.1388,546,"daily"
5000,1.003,0,0,9,958,0.1916,560,"daily"
5000,1.002,0,0,9,1751,0.3502,574,"daily"
5000,1.002,0,0,9,297,0.0594,588,"daily"
5000,1.003,0,0,11,14,0.0028,602,"daily"
5000,1.002,0,0,9,2204,0.4408,616,"daily"
5000,1.002,0,0,9,415,0.083,630,"daily"
5000,1.002,0,0,9,2677,0.5354,644,"daily"
5000,1.002,0,0,9,1443,0.2886,658,"daily"
5000,1.004,0,0,9,1526,0.3052,672,"daily"
