"samples","max_rhat","divergent_transitions","per_divergent_transitions","max_treedepth","no_at_max_treedepth","per_at_max_treedepth","slide","type"
5000,1.002,0,0,10,417,0.0834,0,"daily"
5000,1.003,0,0,9,936,0.1872,14,"daily"
5000,1.002,0,0,10,922,0.1844,28,"daily"
5000,1.003,0,0,10,5,0.001,42,"daily"
5000,1.002,0,0,10,1249,0.2498,56,"daily"
5000,1.002,0,0,10,2451,0.4902,70,"daily"
5000,1.002,0,0,10,2255,0.451,84,"daily"
5000,1.002,0,0,10,1931,0.3862,98,"daily"
5000,1.004,0,0,11,605,0.121,112,"daily"
5000,1.002,0,0,10,1437,0.2874,126,"daily"
5000,1.002,0,0,10,564,0.1128,140,"daily"
5000,1.002,0,0,10,51,0.0102,154,"daily"
5000,1.002,0,0,10,1100,0.22,168,"daily"
5000,1.002,0,0,11,1,2e-04,182,"daily"
5000,1.008,0,0,10,1029,0.2058,196,"daily"
5000,1.003,0,0,10,221,0.0442,210,"daily"
5000,1.004,0,0,10,1677,0.3354,224,"daily"
5000,1.001,0,0,10,4442,0.8884,238,"daily"
5000,1.002,0,0,10,2976,0.5952,252,"daily"
5000,1.002,0,0,10,2341,0.4682,266,"daily"
5000,1.002,0,0,10,2505,0.501,280,"daily"
5000,1.002,0,0,10,3454,0.6908,294,"daily"
5000,1.002,0,0,10,462,0.0924,308,"daily"
5000,1.003,0,0,10,1197,0.2394,322,"daily"
5000,1.002,0,0,10,207,0.0414,336,"daily"
5000,1.004,0,0,9,1196,0.2392,350,"daily"
5000,1.001,0,0,9,1605,0.321,364,"daily"
5000,1.002,0,0,9,3664,0.7328,378,"daily"
5000,1.002,0,0,10,1,2e-04,392,"daily"
5000,1.004,0,0,10,2863,0.5726,406,"daily"
5000,1.002,0,0,9,1422,0.2844,420,"daily"
5000,1.001,0,0,11,177,0.0354,434,"daily"
5000,1.002,0,0,11,1163,0.2326,448,"daily"
5000,1.002,0,0,11,187,0.0374,462,"daily"
5000,1.004,0,0,11,29,0.0058,476,"daily"
5000,1.005,0,0,10,931,0.1862,490,"daily"
5000,1.002,0,0,9,1242,0.2484,504,"daily"
5000,1.002,0,0,10,1092,0.2184,518,"daily"
5000,1.003,0,0,9,725,0.145,532,"daily"
5000,1.002,0,0,9,2257,0.4514,546,"daily"
5000,1.003,0,0,9,465,0.093,560,"daily"
5000,1.003,0,0,10,494,0.0988,574,"daily"
5000,1.005,0,0,10,13,0.0026,588,"daily"
5000,1.003,0,0,11,130,0.026,602,"daily"
5000,1.002,0,0,10,1213,0.2426,616,"daily"
5000,1.002,0,0,9,3210,0.642,630,"daily"
5000,1.002,0,0,10,46,0.0092,644,"daily"
5000,1.003,0,0,9,2052,0.4104,658,"daily"
5000,1.005,0,0,10,5,0.001,672,"daily"
5000,1.001,0,0,9,1139,0.2278,686,"daily"
5000,1.002,0,0,9,722,0.1444,700,"daily"
5000,1.002,0,0,10,1155,0.231,714,"daily"
5000,1.001,0,0,10,616,0.1232,728,"daily"
5000,1.001,0,0,10,301,0.0602,742,"daily"
5000,1.002,0,0,10,1485,0.297,756,"daily"
5000,1.003,0,0,10,1921,0.3842,770,"daily"
5000,1.003,0,0,11,2,4e-04,784,"daily"
5000,1.004,1,2e-04,8,672,0.1344,0,"weekly"
5000,1.003,0,0,9,15,0.003,14,"weekly"
5000,1.001,0,0,9,1247,0.2494,28,"weekly"
5000,1.004,0,0,10,192,0.0384,42,"weekly"
5000,1.003,0,0,10,108,0.0216,56,"weekly"
5000,1.003,0,0,9,816,0.1632,70,"weekly"
5000,1.005,1,2e-04,12,7,0.0014,84,"weekly"
5000,1.002,0,0,12,1466,0.2932,98,"weekly"
5000,1.015,0,0,12,2434,0.4868,112,"weekly"
5000,1.002,11,0.0022,10,2760,0.552,126,"weekly"
5000,1.001,0,0,10,2833,0.5666,140,"weekly"
5000,1.002,0,0,11,3,6e-04,154,"weekly"
5000,1.003,0,0,10,3197,0.6394,168,"weekly"
5000,1.005,1,2e-04,11,316,0.0632,182,"weekly"
5000,1.005,19,0.0038,11,1209,0.2418,196,"weekly"
5000,1.013,0,0,11,2440,0.488,210,"weekly"
5000,1.001,0,0,10,833,0.1666,224,"weekly"
5000,1.002,0,0,11,178,0.0356,238,"weekly"
5000,1.002,5,0.001,10,1007,0.2014,252,"weekly"
5000,1.003,0,0,11,2,4e-04,266,"weekly"
5000,1.005,0,0,11,785,0.157,280,"weekly"
5000,1.003,1,2e-04,11,57,0.0114,294,"weekly"
5000,1.002,0,0,10,1212,0.2424,308,"weekly"
5000,1.002,0,0,11,9,0.0018,322,"weekly"
5000,1.003,0,0,10,1156,0.2312,336,"weekly"
5000,1.002,0,0,9,3483,0.6966,350,"weekly"
5000,1.002,0,0,10,1198,0.2396,364,"weekly"
5000,1.001,0,0,11,458,0.0916,378,"weekly"
5000,1.003,0,0,9,2781,0.5562,392,"weekly"
5000,1.012,23,0.0046,11,2279,0.4558,406,"weekly"
5000,1.007,12,0.0024,11,1,2e-04,420,"weekly"
5000,1.007,0,0,12,20,0.004,434,"weekly"
5000,1.005,9,0.0018,12,1596,0.3192,448,"weekly"
5000,1.002,11,0.0022,12,1079,0.2158,462,"weekly"
5000,1.002,5,0.001,10,1842,0.3684,476,"weekly"
5000,1.003,0,0,11,1038,0.2076,490,"weekly"
5000,1.002,0,0,10,1885,0.377,504,"weekly"
5000,1.003,2,4e-04,10,47,0.0094,518,"weekly"
5000,1.006,0,0,10,1144,0.2288,532,"weekly"
5000,1.001,0,0,10,1202,0.2404,546,"weekly"
5000,1.002,0,0,10,1896,0.3792,560,"weekly"
5000,1.001,0,0,9,1337,0.2674,574,"weekly"
5000,1.001,0,0,9,2957,0.5914,588,"weekly"
5000,1.01,15,0.003,9,1220,0.244,602,"weekly"
5000,1.537,0,0,12,1250,0.25,616,"weekly"
5000,1.003,0,0,9,569,0.1138,630,"weekly"
5000,1.002,0,0,10,909,0.1818,644,"weekly"
5000,1.006,0,0,10,3,6e-04,658,"weekly"
5000,1.008,11,0.0022,11,5,0.001,672,"weekly"
5000,1.002,0,0,10,1255,0.251,686,"weekly"
5000,1.002,0,0,10,5,0.001,700,"weekly"
5000,1.002,0,0,9,4354,0.8708,714,"weekly"
5000,1.002,0,0,10,566,0.1132,728,"weekly"
5000,1.004,0,0,11,4,8e-04,742,"weekly"
5000,1.013,1,2e-04,11,69,0.0138,756,"weekly"
5000,1.006,0,0,12,1,2e-04,770,"weekly"
5000,1.002,0,0,9,2380,0.476,784,"weekly"
