"samples","max_rhat","divergent_transitions","per_divergent_transitions","max_treedepth","no_at_max_treedepth","per_at_max_treedepth","slide","type"
5000,1.002,0,0,9,1227,0.2454,0,"daily"
5000,1.002,0,0,9,3439,0.6878,14,"daily"
5000,1.001,0,0,9,1057,0.2114,28,"daily"
5000,1.002,0,0,9,216,0.0432,42,"daily"
5000,1.002,0,0,10,12,0.0024,56,"daily"
5000,1.002,0,0,11,442,0.0884,70,"daily"
5000,1.001,0,0,10,3047,0.6094,84,"daily"
5000,1.003,0,0,11,460,0.092,98,"daily"
5000,1.002,0,0,11,1501,0.3002,112,"daily"
5000,1.003,0,0,10,2202,0.4404,126,"daily"
5000,1.002,0,0,11,210,0.042,140,"daily"
5000,1.002,0,0,10,165,0.033,154,"daily"
5000,1.002,0,0,9,3080,0.616,168,"daily"
5000,1.001,0,0,10,8,0.0016,182,"daily"
5000,1.002,0,0,9,1696,0.3392,196,"daily"
5000,1.002,0,0,10,224,0.0448,210,"daily"
5000,1.001,0,0,11,6,0.0012,224,"daily"
5000,1.001,0,0,10,2204,0.4408,238,"daily"
5000,1.002,0,0,10,2243,0.4486,252,"daily"
5000,1.001,0,0,11,189,0.0378,266,"daily"
5000,1.003,0,0,10,1186,0.2372,280,"daily"
5000,1.001,0,0,10,2806,0.5612,294,"daily"
5000,1.003,0,0,9,2782,0.5564,308,"daily"
5000,1.002,0,0,10,1772,0.3544,322,"daily"
5000,1.001,0,0,10,1028,0.2056,336,"daily"
5000,1.002,0,0,10,801,0.1602,350,"daily"
5000,1.002,0,0,9,834,0.1668,364,"daily"
5000,1.001,0,0,9,1193,0.2386,378,"daily"
5000,1.002,0,0,10,15,0.003,392,"daily"
5000,1.002,0,0,10,936,0.1872,406,"daily"
5000,1.001,0,0,10,1103,0.2206,420,"daily"
5000,1.003,0,0,11,8,0.0016,434,"daily"
5000,1.001,0,0,10,2145,0.429,448,"daily"
5000,1.005,0,0,9,612,0.1224,462,"daily"
5000,1.003,0,0,9,785,0.157,476,"daily"
5000,1.001,0,0,10,256,0.0512,490,"daily"
5000,1.002,0,0,11,1,2e-04,504,"daily"
5000,1.002,0,0,10,1986,0.3972,518,"daily"
5000,1.002,0,0,11,23,0.0046,532,"daily"
5000,1.003,0,0,9,174,0.0348,546,"daily"
5000,1.003,0,0,9,1728,0.3456,560,"daily"
5000,1.003,0,0,9,2349,0.4698,574,"daily"
5000,1.002,0,0,10,796,0.1592,588,"daily"
5000,1.002,0,0,10,1502,0.3004,602,"daily"
5000,1.003,0,0,10,75,0.015,616,"daily"
5000,1.002,0,0,9,504,0.1008,630,"daily"
5000,1.002,0,0,11,1,2e-04,644,"daily"
5000,1.003,0,0,9,2737,0.5474,658,"daily"
5000,1.002,0,0,9,2411,0.4822,672,"daily"
5000,1.002,0,0,9,959,0.1918,686,"daily"
5000,1.003,0,0,10,27,0.0054,700,"daily"
5000,1.002,0,0,10,550,0.11,714,"daily"
5000,1.003,0,0,10,725,0.145,728,"daily"
5000,1.002,0,0,10,2043,0.4086,742,"daily"
5000,1.001,0,0,10,1033,0.2066,756,"daily"
5000,1.001,0,0,10,930,0.186,770,"daily"
5000,1.006,0,0,11,646,0.1292,784,"daily"
5000,1.003,0,0,10,18,0.0036,0,"weekly"
5000,1.001,0,0,10,534,0.1068,14,"weekly"
5000,1.005,0,0,8,2537,0.5074,28,"weekly"
5000,1.002,0,0,9,578,0.1156,42,"weekly"
5000,1.002,0,0,9,1230,0.246,56,"weekly"
5000,1.001,0,0,10,964,0.1928,70,"weekly"
5000,1.006,0,0,10,2416,0.4832,84,"weekly"
5000,1.019,0,0,10,1532,0.3064,98,"weekly"
5000,1.008,0,0,11,1,2e-04,112,"weekly"
5000,1.005,0,0,11,1,2e-04,126,"weekly"
5000,1.002,1,2e-04,9,2980,0.596,140,"weekly"
5000,1.002,0,0,9,3425,0.685,154,"weekly"
5000,1.002,0,0,11,236,0.0472,168,"weekly"
5000,1.004,2,4e-04,11,3,6e-04,182,"weekly"
5000,1.001,5,0.001,10,1166,0.2332,196,"weekly"
5000,1.004,0,0,11,132,0.0264,210,"weekly"
5000,1.002,0,0,10,869,0.1738,224,"weekly"
5000,1.002,0,0,12,36,0.0072,238,"weekly"
5000,1.008,0,0,11,1,2e-04,252,"weekly"
5000,1.005,0,0,11,66,0.0132,266,"weekly"
5000,1.007,0,0,11,1194,0.2388,280,"weekly"
5000,1.006,7,0.0014,11,1119,0.2238,294,"weekly"
5000,1.007,5,0.001,11,1234,0.2468,308,"weekly"
5000,1.004,0,0,10,596,0.1192,322,"weekly"
5000,1.001,0,0,9,480,0.096,336,"weekly"
5000,1.003,0,0,10,30,0.006,350,"weekly"
5000,1.004,0,0,9,2544,0.5088,364,"weekly"
5000,1.004,0,0,9,1541,0.3082,378,"weekly"
5000,1.002,0,0,10,1097,0.2194,392,"weekly"
5000,1.002,0,0,10,920,0.184,406,"weekly"
5000,1.003,0,0,10,1234,0.2468,420,"weekly"
5000,1.007,0,0,11,566,0.1132,434,"weekly"
5000,1.002,0,0,9,1119,0.2238,448,"weekly"
5000,1.003,2,4e-04,9,803,0.1606,462,"weekly"
5000,1.005,0,0,10,338,0.0676,476,"weekly"
5000,1.005,3,6e-04,12,576,0.1152,490,"weekly"
5000,1.003,0,0,11,3,6e-04,504,"weekly"
5000,1.004,0,0,11,121,0.0242,518,"weekly"
5000,1.004,1,2e-04,10,2109,0.4218,532,"weekly"
5000,1.003,0,0,11,637,0.1274,546,"weekly"
5000,1.002,0,0,10,1168,0.2336,560,"weekly"
5000,1.002,0,0,9,1485,0.297,574,"weekly"
5000,1.002,0,0,10,1,2e-04,588,"weekly"
5000,1.004,0,0,9,1332,0.2664,602,"weekly"
5000,1.002,0,0,10,15,0.003,616,"weekly"
5000,1.003,0,0,9,75,0.015,630,"weekly"
5000,1.004,4,8e-04,10,3,6e-04,644,"weekly"
5000,1.002,3,6e-04,10,1381,0.2762,658,"weekly"
5000,1.004,0,0,12,158,0.0316,672,"weekly"
5000,1.002,1,2e-04,11,194,0.0388,686,"weekly"
5000,1.002,0,0,11,1118,0.2236,700,"weekly"
5000,1.002,0,0,9,15,0.003,714,"weekly"
5000,1.003,0,0,10,617,0.1234,728,"weekly"
