"samples","max_rhat","divergent_transitions","per_divergent_transitions","max_treedepth","no_at_max_treedepth","per_at_max_treedepth","slide","type"
5000,1.002,0,0,8,1,2e-04,0,"daily"
5000,1.002,0,0,9,19,0.0038,14,"daily"
5000,1.002,0,0,9,716,0.1432,28,"daily"
5000,1.002,0,0,9,124,0.0248,42,"daily"
5000,1.002,0,0,8,3500,0.7,56,"daily"
5000,1.001,0,0,9,2376,0.4752,70,"daily"
5000,1.003,0,0,10,1008,0.2016,84,"daily"
5000,1.002,0,0,10,4483,0.8966,98,"daily"
5000,1.002,0,0,10,1810,0.362,112,"daily"
5000,1.004,0,0,10,1488,0.2976,126,"daily"
5000,1.003,0,0,10,254,0.0508,140,"daily"
5000,1.002,0,0,9,943,0.1886,154,"daily"
5000,1.001,0,0,9,2497,0.4994,168,"daily"
5000,1.002,0,0,8,4329,0.8658,182,"daily"
5000,1.002,0,0,9,655,0.131,196,"daily"
5000,1.002,0,0,9,766,0.1532,210,"daily"
5000,1.003,0,0,9,3190,0.638,224,"daily"
5000,1.002,0,0,10,1824,0.3648,238,"daily"
5000,1.001,0,0,10,326,0.0652,252,"daily"
5000,1.002,0,0,10,3086,0.6172,266,"daily"
5000,1.002,0,0,10,861,0.1722,280,"daily"
5000,1.002,0,0,10,831,0.1662,294,"daily"
5000,1.003,0,0,10,1081,0.2162,308,"daily"
5000,1.003,0,0,10,837,0.1674,322,"daily"
5000,1.001,0,0,9,1115,0.223,336,"daily"
5000,1.002,0,0,9,1186,0.2372,350,"daily"
5000,1.002,0,0,9,653,0.1306,364,"daily"
5000,1.002,0,0,9,1342,0.2684,378,"daily"
5000,1.003,0,0,8,3341,0.6682,392,"daily"
5000,1.002,0,0,10,453,0.0906,406,"daily"
5000,1.003,0,0,10,1130,0.226,420,"daily"
5000,1.002,0,0,11,5,0.001,434,"daily"
5000,1.002,0,0,10,935,0.187,448,"daily"
5000,1.001,0,0,10,2504,0.5008,462,"daily"
5000,1.002,0,0,9,654,0.1308,476,"daily"
5000,1.002,0,0,9,2299,0.4598,490,"daily"
5000,1.005,0,0,9,2235,0.447,504,"daily"
5000,1.003,0,0,9,1362,0.2724,518,"daily"
5000,1.002,0,0,9,1111,0.2222,532,"daily"
5000,1.003,0,0,9,466,0.0932,546,"daily"
5000,1.002,0,0,10,2,4e-04,560,"daily"
5000,1.001,0,0,9,1664,0.3328,574,"daily"
5000,1.002,0,0,8,4603,0.9206,588,"daily"
5000,1.004,0,0,10,153,0.0306,602,"daily"
5000,1.001,0,0,9,964,0.1928,616,"daily"
5000,1.003,0,0,9,1997,0.3994,630,"daily"
5000,1.002,0,0,10,226,0.0452,644,"daily"
5000,1.002,0,0,10,45,0.009,658,"daily"
5000,1.001,0,0,10,1107,0.2214,672,"daily"
5000,1.002,0,0,10,20,0.004,686,"daily"
5000,1.002,0,0,9,1065,0.213,700,"daily"
5000,1.001,0,0,9,750,0.15,714,"daily"
5000,1.001,0,0,10,40,0.008,728,"daily"
5000,1.002,0,0,9,1330,0.266,742,"daily"
5000,1.006,0,0,10,18,0.0036,756,"daily"
5000,1.004,0,0,9,1126,0.2252,770,"daily"
5000,1.002,0,0,9,828,0.1656,784,"daily"
5000,1.001,0,0,7,1556,0.3112,0,"weekly"
5000,1.002,0,0,10,169,0.0338,14,"weekly"
5000,1.003,0,0,10,6,0.0012,28,"weekly"
5000,1.003,0,0,10,1189,0.2378,42,"weekly"
5000,1.003,0,0,8,3402,0.6804,56,"weekly"
5000,1.004,0,0,10,1091,0.2182,70,"weekly"
5000,1.004,3,6e-04,10,657,0.1314,84,"weekly"
5000,1.002,0,0,11,1202,0.2404,98,"weekly"
5000,1.003,0,0,10,986,0.1972,112,"weekly"
5000,1.003,0,0,9,3283,0.6566,126,"weekly"
5000,1.003,0,0,9,4536,0.9072,140,"weekly"
5000,1.003,0,0,10,2465,0.493,154,"weekly"
5000,1.001,0,0,9,3242,0.6484,168,"weekly"
5000,1.002,0,0,12,9,0.0018,182,"weekly"
5000,1.004,0,0,10,795,0.159,196,"weekly"
5000,1.003,0,0,10,3095,0.619,210,"weekly"
5000,1.003,0,0,11,223,0.0446,224,"weekly"
5000,1.001,0,0,10,266,0.0532,238,"weekly"
5000,1.004,0,0,11,1196,0.2392,252,"weekly"
5000,1.011,0,0,11,4,8e-04,266,"weekly"
5000,1.005,0,0,10,1140,0.228,280,"weekly"
5000,1.002,1,2e-04,11,32,0.0064,294,"weekly"
5000,1.002,0,0,10,1475,0.295,308,"weekly"
5000,1.005,0,0,10,2484,0.4968,322,"weekly"
5000,1.003,0,0,10,46,0.0092,336,"weekly"
5000,1.005,0,0,10,93,0.0186,350,"weekly"
5000,1.003,0,0,10,848,0.1696,364,"weekly"
5000,1.002,0,0,10,1,2e-04,378,"weekly"
5000,1.003,0,0,10,691,0.1382,392,"weekly"
5000,1.003,0,0,10,4150,0.83,406,"weekly"
5000,1.001,0,0,10,1208,0.2416,420,"weekly"
5000,1.002,0,0,10,1180,0.236,434,"weekly"
5000,1.007,0,0,12,6,0.0012,448,"weekly"
5000,1.007,0,0,11,825,0.165,462,"weekly"
5000,1.003,12,0.0024,9,2516,0.5032,476,"weekly"
5000,1.003,0,0,10,365,0.073,490,"weekly"
