"samples","max_rhat","divergent_transitions","per_divergent_transitions","max_treedepth","no_at_max_treedepth","per_at_max_treedepth","slide","type"
5000,1.002,0,0,9,577,0.1154,0,"daily"
5000,1.002,0,0,9,249,0.0498,14,"daily"
5000,1.002,0,0,9,1739,0.3478,28,"daily"
5000,1.003,0,0,9,1169,0.2338,42,"daily"
5000,1.003,0,0,9,1374,0.2748,56,"daily"
5000,1.003,0,0,10,2017,0.4034,70,"daily"
5000,1.002,0,0,10,9,0.0018,84,"daily"
5000,1.003,0,0,9,3163,0.6326,98,"daily"
5000,1.002,0,0,11,6,0.0012,112,"daily"
5000,1.002,0,0,10,1196,0.2392,126,"daily"
5000,1.009,0,0,10,1550,0.31,140,"daily"
5000,1.001,0,0,10,3,6e-04,154,"daily"
5000,1.004,0,0,9,2078,0.4156,168,"daily"
5000,1.002,0,0,9,1371,0.2742,182,"daily"
5000,1.002,0,0,9,261,0.0522,196,"daily"
5000,1.002,0,0,9,624,0.1248,210,"daily"
5000,1.003,0,0,10,628,0.1256,224,"daily"
5000,1.002,0,0,10,962,0.1924,238,"daily"
5000,1.003,0,0,11,282,0.0564,252,"daily"
5000,1.002,0,0,10,1346,0.2692,266,"daily"
5000,1.001,0,0,10,932,0.1864,280,"daily"
5000,1.003,0,0,11,178,0.0356,294,"daily"
5000,1.002,0,0,10,4,8e-04,308,"daily"
5000,1.002,0,0,10,1022,0.2044,322,"daily"
5000,1.002,0,0,10,373,0.0746,336,"daily"
5000,1.002,0,0,10,6,0.0012,350,"daily"
5000,1.005,0,0,10,972,0.1944,364,"daily"
5000,1.002,0,0,10,597,0.1194,378,"daily"
5000,1.001,0,0,9,1162,0.2324,392,"daily"
5000,1.005,0,0,9,2361,0.4722,406,"daily"
5000,1.002,0,0,9,960,0.192,420,"daily"
5000,1.005,0,0,10,1343,0.2686,434,"daily"
5000,1.002,0,0,10,355,0.071,448,"daily"
5000,1.002,0,0,10,41,0.0082,462,"daily"
5000,1.003,0,0,10,1594,0.3188,476,"daily"
5000,1.003,0,0,10,1,2e-04,490,"daily"
