"samples","max_rhat","divergent_transitions","per_divergent_transitions","max_treedepth","no_at_max_treedepth","per_at_max_treedepth","slide","type"
5000,1.001,0,0,7,1033,0.2066,0,"daily"
5000,1.002,0,0,8,412,0.0824,14,"daily"
5000,1.001,0,0,10,31,0.0062,28,"daily"
5000,1.002,0,0,9,281,0.0562,42,"daily"
5000,1.002,0,0,9,3540,0.708,56,"daily"
5000,1.002,0,0,9,1351,0.2702,70,"daily"
5000,1.002,0,0,10,1194,0.2388,84,"daily"
5000,1.001,0,0,10,8,0.0016,98,"daily"
5000,1.002,0,0,10,1085,0.217,112,"daily"
5000,1.002,0,0,10,1186,0.2372,126,"daily"
5000,1.002,0,0,9,1606,0.3212,140,"daily"
5000,1.002,0,0,9,158,0.0316,154,"daily"
5000,1.001,0,0,10,1,2e-04,168,"daily"
5000,1.002,0,0,9,229,0.0458,182,"daily"
5000,1.002,0,0,9,2052,0.4104,196,"daily"
5000,1.004,0,0,9,1544,0.3088,210,"daily"
5000,1.002,0,0,10,19,0.0038,224,"daily"
5000,1.002,0,0,10,2067,0.4134,238,"daily"
5000,1.003,0,0,10,1491,0.2982,252,"daily"
5000,1.001,0,0,10,1020,0.204,266,"daily"
5000,1.002,0,0,10,604,0.1208,280,"daily"
5000,1.001,0,0,10,779,0.1558,294,"daily"
5000,1.003,0,0,10,1215,0.243,308,"daily"
5000,1.003,0,0,9,2474,0.4948,322,"daily"
5000,1.002,0,0,9,1003,0.2006,336,"daily"
5000,1.004,0,0,10,2,4e-04,350,"daily"
5000,1.003,0,0,9,1296,0.2592,364,"daily"
5000,1.003,0,0,10,6,0.0012,378,"daily"
5000,1.008,0,0,9,1986,0.3972,392,"daily"
5000,1.003,0,0,10,33,0.0066,406,"daily"
5000,1.004,0,0,10,555,0.111,420,"daily"
5000,1.004,0,0,10,1121,0.2242,434,"daily"
5000,1.002,0,0,9,1023,0.2046,448,"daily"
5000,1.003,0,0,10,211,0.0422,462,"daily"
5000,1.002,0,0,9,1697,0.3394,476,"daily"
5000,1.005,0,0,10,1225,0.245,490,"daily"
5000,1.002,0,0,10,1188,0.2376,504,"daily"
5000,1.001,0,0,10,1095,0.219,518,"daily"
5000,1.003,0,0,10,861,0.1722,532,"daily"
5000,1.003,0,0,9,92,0.0184,546,"daily"
5000,1.003,0,0,9,543,0.1086,560,"daily"
5000,1.002,0,0,9,1918,0.3836,574,"daily"
5000,1.002,0,0,10,4,8e-04,588,"daily"
5000,1.003,0,0,10,1,2e-04,602,"daily"
5000,1.003,0,0,9,2431,0.4862,616,"daily"
5000,1.002,0,0,10,198,0.0396,630,"daily"
5000,1.002,0,0,10,961,0.1922,644,"daily"
5000,1.003,0,0,8,1299,0.2598,658,"daily"
5000,1.002,0,0,9,992,0.1984,672,"daily"
5000,1.002,0,0,9,1,2e-04,686,"daily"
5000,1.003,0,0,9,2,4e-04,700,"daily"
5000,1.002,0,0,9,2126,0.4252,714,"daily"
5000,1.002,0,0,10,993,0.1986,728,"daily"
5000,1.001,0,0,10,1058,0.2116,742,"daily"
5000,1.002,0,0,10,1243,0.2486,756,"daily"
5000,1.001,0,0,10,82,0.0164,770,"daily"
5000,1.002,0,0,10,1168,0.2336,784,"daily"
5000,1.003,0,0,7,2411,0.4822,0,"weekly"
5000,1.005,0,0,8,174,0.0348,14,"weekly"
5000,1.001,0,0,9,138,0.0276,28,"weekly"
5000,1.001,0,0,9,1151,0.2302,42,"weekly"
5000,1.002,0,0,10,94,0.0188,56,"weekly"
5000,1.004,0,0,9,600,0.12,70,"weekly"
5000,1.006,2,4e-04,11,31,0.0062,84,"weekly"
5000,1.011,0,0,12,355,0.071,98,"weekly"
5000,1.004,0,0,11,1119,0.2238,112,"weekly"
5000,1.002,2,4e-04,10,811,0.1622,126,"weekly"
5000,1.004,0,0,10,600,0.12,140,"weekly"
5000,1.002,0,0,10,389,0.0778,154,"weekly"
5000,1.003,0,0,10,1029,0.2058,168,"weekly"
5000,1.003,0,0,9,1394,0.2788,182,"weekly"
5000,1.002,0,0,9,3066,0.6132,196,"weekly"
5000,1.005,0,0,9,3252,0.6504,210,"weekly"
5000,1.003,0,0,11,2,4e-04,224,"weekly"
5000,1.003,0,0,10,1506,0.3012,238,"weekly"
5000,1.002,0,0,10,2620,0.524,252,"weekly"
5000,1.005,0,0,11,253,0.0506,266,"weekly"
5000,1.007,0,0,10,1231,0.2462,280,"weekly"
5000,1.004,16,0.0032,12,1244,0.2488,294,"weekly"
5000,1.003,0,0,10,910,0.182,308,"weekly"
