"samples","max_rhat","divergent_transitions","per_divergent_transitions","max_treedepth","no_at_max_treedepth","per_at_max_treedepth","slide","type"
5000,1.003,0,0,7,2500,0.5,0,"daily"
5000,1.001,0,0,9,2,4e-04,14,"daily"
5000,1.002,0,0,9,1729,0.3458,28,"daily"
5000,1.003,0,0,10,294,0.0588,42,"daily"
5000,1.002,0,0,11,251,0.0502,56,"daily"
5000,1.001,0,0,9,3421,0.6842,70,"daily"
5000,1.002,0,0,11,5,0.001,84,"daily"
5000,1.001,0,0,10,1023,0.2046,98,"daily"
5000,1.001,0,0,10,560,0.112,112,"daily"
5000,1.008,0,0,10,693,0.1386,126,"daily"
5000,1.002,0,0,9,3338,0.6676,140,"daily"
5000,1.002,0,0,9,1303,0.2606,154,"daily"
5000,1.002,0,0,9,2430,0.486,168,"daily"
5000,1.002,0,0,9,1216,0.2432,182,"daily"
5000,1.005,0,0,10,1,2e-04,196,"daily"
5000,1.003,0,0,10,960,0.192,210,"daily"
5000,1.002,0,0,10,15,0.003,224,"daily"
5000,1.002,0,0,9,2341,0.4682,238,"daily"
5000,1.002,0,0,10,1384,0.2768,252,"daily"
5000,1.001,0,0,10,1083,0.2166,266,"daily"
5000,1.002,0,0,10,1195,0.239,280,"daily"
5000,1.002,0,0,10,37,0.0074,294,"daily"
5000,1.003,0,0,10,1151,0.2302,308,"daily"
5000,1.003,0,0,9,2542,0.5084,322,"daily"
5000,1.001,0,0,9,2836,0.5672,336,"daily"
5000,1.003,0,0,9,3128,0.6256,350,"daily"
5000,1.003,0,0,9,42,0.0084,364,"daily"
5000,1.003,0,0,9,1138,0.2276,378,"daily"
5000,1.002,0,0,9,1222,0.2444,392,"daily"
5000,1.002,0,0,10,974,0.1948,406,"daily"
5000,1.004,0,0,10,101,0.0202,420,"daily"
5000,1.003,0,0,9,1190,0.238,434,"daily"
5000,1.003,0,0,9,2926,0.5852,448,"daily"
5000,1.002,0,0,10,115,0.023,462,"daily"
5000,1.004,0,0,10,232,0.0464,476,"daily"
5000,1.002,0,0,9,350,0.07,490,"daily"
5000,1.002,0,0,9,3674,0.7348,504,"daily"
5000,1.002,0,0,9,2934,0.5868,518,"daily"
5000,1.002,0,0,10,2,4e-04,532,"daily"
5000,1.002,0,0,9,2,4e-04,546,"daily"
5000,1.003,0,0,10,78,0.0156,560,"daily"
5000,1.002,0,0,9,1161,0.2322,574,"daily"
5000,1.002,0,0,10,1217,0.2434,588,"daily"
5000,1.001,0,0,10,712,0.1424,602,"daily"
5000,1.002,0,0,9,1295,0.259,616,"daily"
5000,1.004,0,0,9,2410,0.482,630,"daily"
5000,1.002,0,0,10,4,8e-04,644,"daily"
5000,1.002,0,0,10,982,0.1964,658,"daily"
5000,1.003,0,0,9,746,0.1492,672,"daily"
5000,1.002,0,0,10,445,0.089,686,"daily"
5000,1.003,0,0,8,3444,0.6888,700,"daily"
5000,1.002,0,0,9,2,4e-04,714,"daily"
5000,1.002,0,0,10,1078,0.2156,728,"daily"
5000,1.004,0,0,10,455,0.091,742,"daily"
5000,1.001,0,0,10,1162,0.2324,756,"daily"
5000,1.003,0,0,10,1119,0.2238,770,"daily"
5000,1.002,0,0,10,813,0.1626,784,"daily"
5000,1.002,0,0,8,175,0.035,0,"weekly"
