"samples","max_rhat","divergent_transitions","per_divergent_transitions","max_treedepth","no_at_max_treedepth","per_at_max_treedepth","slide","type"
5000,1.003,0,0,9,1,2e-04,0,"daily"
5000,1.003,0,0,10,19,0.0038,14,"daily"
5000,1.002,0,0,9,577,0.1154,28,"daily"
5000,1.002,0,0,11,13,0.0026,42,"daily"
5000,1.002,0,0,10,211,0.0422,56,"daily"
5000,1.007,0,0,10,1141,0.2282,70,"daily"
5000,1.001,0,0,9,2388,0.4776,84,"daily"
5000,1.003,0,0,9,2168,0.4336,98,"daily"
5000,1.002,0,0,9,2402,0.4804,112,"daily"
5000,1.002,0,0,10,1071,0.2142,126,"daily"
5000,1.002,0,0,9,786,0.1572,140,"daily"
5000,1.001,0,0,10,1217,0.2434,154,"daily"
5000,1.002,0,0,10,250,0.05,168,"daily"
5000,1.002,0,0,9,1138,0.2276,182,"daily"
5000,1.004,0,0,8,3371,0.6742,196,"daily"
5000,1.003,0,0,10,20,0.004,210,"daily"
5000,1.002,0,0,9,2979,0.5958,224,"daily"
5000,1.002,0,0,9,1670,0.334,238,"daily"
5000,1.001,0,0,10,952,0.1904,252,"daily"
5000,1.003,0,0,10,3553,0.7106,266,"daily"
5000,1.002,0,0,10,917,0.1834,280,"daily"
5000,1.004,0,0,10,1297,0.2594,294,"daily"
5000,1.004,0,0,10,371,0.0742,308,"daily"
5000,1.003,0,0,9,2687,0.5374,322,"daily"
5000,1.001,0,0,9,1059,0.2118,336,"daily"
5000,1.002,0,0,9,282,0.0564,350,"daily"
5000,1.002,0,0,8,3301,0.6602,364,"daily"
5000,1.001,0,0,10,213,0.0426,378,"daily"
5000,1.001,0,0,9,706,0.1412,392,"daily"
5000,1.005,0,0,10,1227,0.2454,406,"daily"
5000,1.001,0,0,9,1037,0.2074,420,"daily"
5000,1.002,0,0,9,3384,0.6768,434,"daily"
5000,1.004,0,0,10,1129,0.2258,448,"daily"
5000,1.002,0,0,10,1499,0.2998,462,"daily"
5000,1.003,0,0,10,2,4e-04,476,"daily"
5000,1.002,0,0,10,355,0.071,490,"daily"
5000,1.002,0,0,9,195,0.039,504,"daily"
5000,1.002,0,0,10,2320,0.464,518,"daily"
5000,1.005,0,0,8,3614,0.7228,532,"daily"
5000,1.002,0,0,9,1662,0.3324,546,"daily"
5000,1.001,0,0,8,4312,0.8624,560,"daily"
5000,1.004,0,0,9,1654,0.3308,574,"daily"
5000,1.002,0,0,9,1774,0.3548,588,"daily"
5000,1.004,0,0,10,1040,0.208,602,"daily"
5000,1.001,0,0,10,224,0.0448,616,"daily"
5000,1.002,0,0,9,3154,0.6308,630,"daily"
5000,1.002,0,0,10,1115,0.223,644,"daily"
5000,1.002,0,0,10,691,0.1382,658,"daily"
5000,1.002,0,0,9,3185,0.637,672,"daily"
5000,1.003,0,0,10,58,0.0116,686,"daily"
5000,1.002,0,0,9,886,0.1772,700,"daily"
5000,1.004,0,0,9,1086,0.2172,714,"daily"
5000,1.003,0,0,9,3161,0.6322,728,"daily"
5000,1.001,0,0,9,1046,0.2092,742,"daily"
5000,1.003,0,0,10,1059,0.2118,756,"daily"
5000,1.001,0,0,9,3833,0.7666,770,"daily"
5000,1.002,0,0,9,4617,0.9234,784,"daily"
5000,1.001,0,0,8,3565,0.713,0,"weekly"
5000,1.004,0,0,10,1062,0.2124,14,"weekly"
5000,1.005,0,0,9,1375,0.275,28,"weekly"
5000,1.002,0,0,11,1225,0.245,42,"weekly"
5000,1.001,0,0,11,48,0.0096,56,"weekly"
5000,1.005,0,0,10,1098,0.2196,70,"weekly"
5000,1.005,1,2e-04,10,188,0.0376,84,"weekly"
5000,1.004,0,0,11,327,0.0654,98,"weekly"
5000,1.002,0,0,10,467,0.0934,112,"weekly"
5000,1.003,0,0,11,603,0.1206,126,"weekly"
5000,1.002,0,0,10,1227,0.2454,140,"weekly"
5000,1.004,0,0,9,1879,0.3758,154,"weekly"
5000,1.002,0,0,10,282,0.0564,168,"weekly"
5000,1.003,1,2e-04,10,17,0.0034,182,"weekly"
5000,1.005,4,8e-04,10,1216,0.2432,196,"weekly"
5000,1.001,0,0,9,3306,0.6612,210,"weekly"
5000,1.003,0,0,10,2083,0.4166,224,"weekly"
5000,1.003,0,0,11,652,0.1304,238,"weekly"
5000,1.002,0,0,11,2277,0.4554,252,"weekly"
5000,1.007,0,0,10,448,0.0896,266,"weekly"
5000,1.005,0,0,10,4392,0.8784,280,"weekly"
5000,1.009,25,0.005,10,362,0.0724,294,"weekly"
5000,1.003,0,0,11,3079,0.6158,308,"weekly"
5000,1.002,0,0,12,2,4e-04,322,"weekly"
5000,1.006,1,2e-04,12,1,2e-04,336,"weekly"
5000,1.001,4,8e-04,9,1160,0.232,350,"weekly"
5000,1.003,0,0,9,3649,0.7298,364,"weekly"
5000,1.002,0,0,10,1209,0.2418,378,"weekly"
5000,1.004,0,0,9,3422,0.6844,392,"weekly"
5000,1.004,0,0,10,1981,0.3962,406,"weekly"
5000,1.002,1,2e-04,11,215,0.043,420,"weekly"
5000,1.007,0,0,12,4,8e-04,434,"weekly"
5000,1.008,0,0,11,687,0.1374,448,"weekly"
5000,1.009,1,2e-04,11,1128,0.2256,462,"weekly"
5000,1.002,0,0,10,1126,0.2252,476,"weekly"
5000,1.006,0,0,11,3,6e-04,490,"weekly"
5000,1.004,0,0,11,757,0.1514,504,"weekly"
5000,1.005,0,0,12,544,0.1088,518,"weekly"
5000,1.011,12,0.0024,10,1,2e-04,532,"weekly"
5000,1.005,0,0,11,16,0.0032,546,"weekly"
5000,1.003,0,0,11,870,0.174,560,"weekly"
5000,1.002,0,0,9,1197,0.2394,574,"weekly"
5000,1.001,0,0,9,1961,0.3922,588,"weekly"
5000,1.003,3,6e-04,9,1180,0.236,602,"weekly"
5000,1.002,0,0,8,1536,0.3072,616,"weekly"
5000,1.005,0,0,10,833,0.1666,630,"weekly"
5000,1.007,1,2e-04,9,2525,0.505,644,"weekly"
5000,1.004,7,0.0014,10,152,0.0304,658,"weekly"
5000,1.005,0,0,11,1007,0.2014,672,"weekly"
5000,1.002,0,0,10,3398,0.6796,686,"weekly"
5000,1.002,0,0,10,133,0.0266,700,"weekly"
5000,1.002,7,0.0014,10,1582,0.3164,714,"weekly"
5000,1.005,1,2e-04,12,1208,0.2416,728,"weekly"
5000,1.003,5,0.001,10,2631,0.5262,742,"weekly"
5000,1.042,1,2e-04,12,657,0.1314,756,"weekly"
5000,1.007,0,0,11,980,0.196,770,"weekly"
5000,1.004,2,4e-04,10,549,0.1098,784,"weekly"
